departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
18120.0;additional_1989;taxi168;6506;453546.6;5737484.4;4520;452806.81;5734626.91;170.0;19092.0;802.0;6925.58;4748.44;-2;19320;19911
18143.0;additional_407;taxi174;7625;452141.67;5734341.87;4148;453007.26;5735543.34;98.0;18504.0;263.0;2889.83;2889.83;-2;19343;19737.5
18157.0;additional_1689;taxi199;8030;455810.04;5738005.59;1866;452948.91;5734983.34;68.0;20039.0;1814.0;14635.75;5560.65;-2.04;19357;20000.5
18187.0;additional_155;taxi106;3218;453445.34;5732226.49;6408;452979.48;5735316.56;99.0;19797.0;1511.0;11894.33;4172.46;-2;19387;19828
18200.0;additional_2151;taxi197;1789;456358.03;5731620.64;566;454101.01;5735442.67;61.0;19878.0;1617.0;15411.9;5811.16;-2.11;19400;20066
18225.0;additional_1167;taxi197;9702;454472.56;5730265.64;8000;454913.51;5734112.16;613.0;19433.0;595.0;7226.92;5633.03;-2;19425;19941
18259.0;additional_622;taxi168;9091;453470.54;5736686.01;8612;455337.36;5735122.59;224.0;19548.0;1065.0;10085.57;4007.47;-2;19459;19987
18289.0;additional_2169;taxi168;4908;454127.71;5736141.66;5306;455585.56;5734314.46;564.0;19736.0;883.0;8577.08;3199.6;-2;19489;19891
18306.0;additional_1008;taxi197;7245;454251.49;5731732.38;9768;454729.28;5734278.69;908.0;19548.0;334.0;4507.98;4206.59;-2;19506;19858.5
18317.0;additional_133;taxi168;8882;454163.99;5736928.46;6082;454401.45;5734350.34;363.0;19363.0;683.0;7518.12;4270.7;-2;19517;20018
18322.0;additional_520;taxi197;8285;456153.25;5732205.28;6009;453687.09;5735042.3;146.0;20015.0;1547.0;14605.06;4908.91;-2;19522;20069.5
18353.0;additional_444;taxi85;9076;453577.38;5736829.22;1149;454902.71;5735024.78;82.0;19726.0;1291.0;9784.15;4025.06;-2;19553;20039
18423.0;additional_557;taxi106;6470;453393.84;5733216.18;776;453189.59;5735443.83;144.0;19677.0;1110.0;8196.2;2955.93;-2;19623;19932
18431.0;additional_1725;taxi197;5584;454133.06;5730949.56;3867;454335.06;5734584.46;612.0;19702.0;659.0;7268.53;5145.94;-2;19631;20133.5
