vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;126594.43;120888.04;5706.39;265491.55
taxi81;185645.13;170931.65;14713.48;474423.44
taxi80;73805.91;69812.21;3993.7;209654.77
taxi83;197545.31;186967.34;10577.96;514884.82
taxi82;100622.57;96825.12;3797.44;236781.26
taxi85;154120.14;142993.26;11126.88;298753.8
taxi84;187214.63;180326.76;6887.87;438235.18
taxi87;177556.69;164679.65;12877.04;342431.54
taxi86;168172.76;163864.03;4308.73;384799.19
taxi89;110951.24;104184.74;6766.49;234016.07
taxi88;289854.58;264171.99;25682.59;551677.71
taxi90;178861.04;165369.39;13491.65;405772.82
taxi92;83572.92;80793.25;2779.67;210643.53
taxi91;78611.38;71916.95;6694.43;171031.9
taxi94;133275.83;119727.72;13548.11;231874.4
taxi93;80017.8;71861.47;8156.32;165288.48
taxi96;194368.08;184970.48;9397.6;386314.85
taxi95;146665.19;134155.56;12509.63;262126.28
taxi98;143657.85;131519.97;12137.88;295289.98
taxi97;114171.07;98764.72;15406.35;235191.27
taxi99;186768.42;177920.61;8847.8;384380.39
taxi211;142178.58;135204.78;6973.8;318889.86
taxi212;155358.24;154667.87;690.37;306271.97
taxi213;102492.54;99905.5;2587.04;235570.82
taxi214;139503.84;128073.39;11430.44;260066.33
taxi210;128824.08;122049.73;6774.34;303442.64
taxi219;239753.44;202349.93;37403.51;458000.31
taxi215;181385.75;167429.9;13955.85;383033.38
taxi216;128200.4;124763.19;3437.21;276497.92
taxi217;46495.02;44108.46;2386.56;115640.11
taxi218;151020.2;142901.19;8119;341805.8
taxi200;166447.49;156853.69;9593.8;376779.75
taxi201;157084.28;150397.84;6686.44;363741.54
taxi202;143508.59;134770.3;8738.29;346889.31
taxi203;201727.37;187501.24;14226.13;393792.93
taxi208;150676.75;145286.43;5390.32;360462.46
taxi209;140779.35;135979.85;4799.5;330810.34
taxi204;177722.48;158244.51;19477.97;327807.4
taxi205;134120.99;126539.91;7581.08;273283.5
taxi206;171629.32;164881.69;6747.64;404095.12
