person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;7077.876209446914;4748.436038591509;1.4905699796572112;1019.0;394.0;2.5862944162436547
additional_407;2889.825566526154;2889.825566526154;1.0;339.0;263.0;1.2889733840304183
additional_1689;14635.745335928195;5560.64979890944;2.632020692761226;1898.0;429.0;4.424242424242424
additional_155;12461.969633544935;4172.463202619141;2.9867176841061895;1601.0;294.0;5.445578231292517
additional_2151;15068.451425075527;5811.1622189624695;2.593018549009954;1682.0;444.0;3.7882882882882885
additional_1167;7226.922597675311;5633.025393467596;1.2829557995701737;1210.0;344.0;3.5174418604651163
additional_622;10237.868553915168;4007.4693668473565;2.5546966468689982;1336.0;352.0;3.7954545454545454
additional_2169;8577.075054288847;3199.5952057549766;2.68067505503872;1494.0;268.0;5.574626865671642
additional_1008;4507.980647861247;4206.59322466351;1.0716464386027829;1246.0;235.0;5.302127659574468
additional_133;7518.117193556903;4270.702465577336;1.7603935779076956;1093.0;334.0;3.2724550898203595
additional_520;14605.064563511118;4908.906889689685;2.975217271728365;1697.0;365.0;4.64931506849315
additional_444;12825.702210625746;4025.058738776777;3.1864633643889384;1682.0;324.0;5.191358024691358
additional_557;8763.838488836182;2955.9296384057343;2.964833254137576;1245.0;206.0;6.043689320388349
additional_1725;7268.532184257177;5145.939593558117;1.4124791113669897;1275.0;335.0;3.8059701492537314
additional_210;7331.468924458239;3183.4683438513966;2.302981569965462;1129.0;257.0;4.392996108949417
additional_1061;6959.955918430519;2872.52632325904;2.422938951707869;1274.0;198.0;6.434343434343434
additional_639;3241.3517791280674;3241.3517791280674;1.0;369.0;284.0;1.2992957746478873
additional_2269;2616.4873408624762;2616.4873408624762;1.0;359.0;222.0;1.617117117117117
additional_925;12012.913042089343;4791.741678070538;2.5070034758064237;1702.0;355.0;4.794366197183098
additional_1707;8602.468245941704;4942.062635779703;1.7406635406968094;1351.0;398.0;3.3944723618090453
additional_1080;10666.854534443646;5570.344236785075;1.9149363272744564;1133.0;484.0;2.340909090909091
additional_1125;13735.109158710673;7346.542088469403;1.8696019152014796;1819.0;473.0;3.8456659619450315
additional_1776;8100.090326312165;4021.3024542316098;2.014295223625483;1312.0;282.0;4.652482269503546
additional_1793;7488.655092977408;6279.328144601963;1.1925885891813195;1303.0;373.0;3.493297587131367
additional_1225;11172.406273259703;6276.319458875432;1.7800888476861458;1733.0;323.0;5.365325077399381
additional_643;8704.963207065564;3056.2489083163264;2.84825073749019;1284.0;213.0;6.028169014084507
additional_589;13227.932409639274;5232.664917923209;2.5279532737382513;1483.0;401.0;3.6982543640897756
additional_286;9162.560724888483;2959.6983945746565;3.095775144414757;1350.0;334.0;4.041916167664671
additional_1463;13486.767331829564;7936.603574658686;1.6993122064068273;1785.0;430.0;4.151162790697675
additional_374;4885.568587261792;4536.676388302294;1.0769048019072085;1049.0;353.0;2.971671388101983
additional_1279;11034.228552354918;5745.175499724696;1.9206077434681792;1292.0;330.0;3.915151515151515
additional_813;5503.128501080552;3770.1964875608246;1.4596397082319892;1520.0;305.0;4.983606557377049
additional_1529;14418.145350218609;5278.292959597013;2.7315924789667996;1669.0;494.0;3.3785425101214575
additional_2312;10307.57838796224;3449.1257427167156;2.988461180265188;1367.0;298.0;4.587248322147651
additional_482;11334.043106538666;4813.320446962487;2.354724401050666;1605.0;299.0;5.367892976588629
additional_1419;12165.354959549899;5502.661504756468;2.210812885552607;1490.0;326.0;4.570552147239264
additional_1820;2937.7151545178012;2277.497404264054;1.289887377705745;888.0;229.0;3.8777292576419216
additional_1627;3035.1225345423522;3035.1225345423522;1.0;1154.0;211.0;5.469194312796208
additional_1534;9792.237791533946;5731.109836054843;1.7086110843540707;1733.0;378.0;4.584656084656085
additional_81;5359.672789646518;3528.5206130980387;1.5189574831307926;1010.0;243.0;4.156378600823046
additional_1549;3631.994970657001;3889.4338496913606;0.9338107063950224;390.0;265.0;1.471698113207547
additional_1475;9062.088001572158;4678.147925991711;1.9371101865384266;1555.0;339.0;4.587020648967552
additional_1406;10238.204595297178;4860.413532938412;2.106447224277143;1461.0;394.0;3.7081218274111674
additional_1573;5920.046561457276;2560.877629030172;2.3117256733970737;1174.0;181.0;6.486187845303867
additional_1046;11189.370932439077;6204.582501489483;1.8034043273262845;1803.0;454.0;3.9713656387665197
additional_1411;7304.401959263481;4545.535888690902;1.6069396740297486;1261.0;338.0;3.730769230769231
additional_425;10215.812123018593;2914.5286539795898;3.5051335347379755;1398.0;250.0;5.592
additional_1831;3224.7028769552717;1936.8426237732901;1.6649276701031168;527.0;180.0;2.9277777777777776
additional_477;13732.707744774216;3870.3199889653456;3.548209911306426;1406.0;242.0;5.809917355371901
additional_1094;5176.3973987914405;2338.467367103619;2.2135854755171667;1160.0;212.0;5.471698113207547
additional_818;2200.2308469010586;2200.2308469010586;1.0;241.0;167.0;1.4431137724550898
additional_1807;11960.26165744419;5402.760707927412;2.213731516906723;1652.0;398.0;4.150753768844221
additional_1192;1650.6972120296705;1650.6972120296705;1.0;364.0;137.0;2.656934306569343
additional_680;15980.420791345467;4849.485524458226;3.2952816769425795;1669.0;342.0;4.880116959064328
additional_586;10117.89383132012;4051.3450324112273;2.4974159816988686;1519.0;355.0;4.27887323943662
additional_1056;6364.239806323486;3664.1305353977987;1.73690313290996;1480.0;298.0;4.966442953020135
additional_260;13226.347743228118;5350.730128433862;2.471877187926766;1500.0;310.0;4.838709677419355
additional_2150;6731.19336025085;3206.59184431954;2.099173729321093;1516.0;229.0;6.620087336244541
additional_178;13532.125752218511;7877.672739067315;1.717782167455291;1799.0;406.0;4.431034482758621
additional_1999;9129.156001645275;4608.443806212483;1.9809628554738103;1495.0;338.0;4.423076923076923
additional_1685;10387.591824492121;5451.279859511525;1.9055326624567992;1653.0;419.0;3.945107398568019
additional_358;5903.300494137688;3346.9944752151396;1.7637616488023131;1142.0;245.0;4.661224489795918
additional_717;6815.509431942803;4702.729087186213;1.449266863046268;968.0;314.0;3.082802547770701
additional_1461;7684.404185351223;4130.849721292467;1.8602478191694938;1235.0;334.0;3.697604790419162
additional_634;7724.020650089673;4095.732480208552;1.8858703998402677;1584.0;320.0;4.95
additional_1145;8150.686706306689;2934.4809783093424;2.7775564968911763;1230.0;228.0;5.394736842105263
additional_547;5865.45566980038;2307.27355952055;2.5421587507894894;1353.0;140.0;9.664285714285715
additional_2140;4586.872714152195;4586.872714152195;1.0;1024.0;317.0;3.230283911671924
additional_1226;3003.4429046138607;2819.292456089405;1.065317965905491;1277.0;246.0;5.191056910569106
