timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;329.85;61;64;109.25;263;524;805.9;1111
05:30:00;204;353.61;61;70.5;129;230.5;506.25;944.25;1184
06:00:00;331;410.87;61;70.2;152;305;622;1064.4;1190
06:30:00;717;514.05;1;80;189.5;461;808;1128.1;1224
07:00:00;774;552.75;3;80;232.5;493;873.25;1151.25;1212
07:30:00;712;567.71;3;61;245;529.5;859.25;1155.35;1232
08:00:00;563;542.02;12;69.2;238;513;829;1108.8;1233
08:30:00;292;500.4;5;61;197;436.5;775.75;1104.75;1190
09:00:00;183;469.81;12;93;210;437;679;1062.6;1199
09:30:00;180;498.62;29;84.1;217.5;452;733;1126;1198
10:00:00;198;468.03;28;68.85;186.75;396;773.75;1054.05;1206
10:30:00;208;492.71;61;76;213.25;424;750.25;1105.15;1196
11:00:00;248;492.91;61;74.9;203.25;445.5;745;1122.3;1231
11:30:00;195;501.3;61;74.8;220;448;736;1088.6;1217
12:00:00;232;523.53;15;62.95;195;450;836.5;1124.35;1203
12:30:00;102;372.02;61;61;112.75;271.5;598.5;966.4;1124
13:00:00;116;255.8;61;61;86.25;174;349.5;718.75;915
13:30:00;138;294.06;61;61;116;222.5;446.75;727.65;888
14:00:00;226;378.41;61;68.7;154;322.5;562;864.6;1194
14:30:00;492;451.28;9;61;148;379.5;705.75;1089.35;1266
15:00:00;654;521.09;1;61;202;471.5;800.25;1136.25;1219
15:30:00;716;503.47;7;61;188.25;451.5;782.75;1121.65;1220
16:00:00;708;516.08;1;61;189;464;818.25;1129;1214
16:30:00;527;515.01;3;61;206;464;786;1139.2;1203
17:00:00;329;484.91;12;61;201.5;391;737;1084.5;1220
17:30:00;189;446.77;18;61;186.5;390;695.5;1015.5;1183
18:00:00;167;409.84;12;55.2;179;346;599;1040.4;1188
18:30:00;131;492.45;15;114.6;246;442;707;1068.6;1195
19:00:00;98;468.77;34;117.05;266.75;431.5;638.75;1022.35;1128
19:30:00;66;404.47;91;116.85;246.25;345.5;506.75;931.95;1084
20:00:00;54;391.33;156;167.75;257.75;324.5;516;817;940
20:30:00;46;445.41;98;108.4;271.75;374;627.5;954.6;1050
21:00:00;26;386.23;160;169.45;244.25;302;508.75;1032.05;1185
21:30:00;13;507.15;140;140;251.5;378;761;1054;1054
22:00:00;9;384.67;227;227;263.5;312;547;646;646
