person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;4748.436038591509;4748.436038591509;1.0;490.0;394.0;1.2436548223350254
additional_407;2889.825566526154;2889.825566526154;1.0;364.0;263.0;1.3840304182509506
additional_1689;14635.745335928195;5560.64979890944;2.632020692761226;1885.0;429.0;4.393939393939394
additional_155;4172.463202619141;4172.463202619141;1.0;373.0;294.0;1.2687074829931972
additional_2151;14616.458577573605;5811.1622189624695;2.5152384371371483;1534.0;444.0;3.454954954954955
additional_1167;7022.858572555885;5633.025393467596;1.2467294361392416;1195.0;344.0;3.4738372093023258
additional_622;8444.133348207593;4007.4693668473565;2.1070986638259757;1147.0;352.0;3.258522727272727
additional_2169;6783.33984858127;3199.5952057549766;2.1200618866975307;1305.0;268.0;4.869402985074627
additional_1008;5897.813826949538;4206.59322466351;1.4020404426960753;1229.0;235.0;5.229787234042553
additional_133;5724.381987849328;4270.702465577336;1.3403841719222827;904.0;334.0;2.7065868263473054
additional_520;15614.31305199234;4908.906889689685;3.1808126336206377;1720.0;365.0;4.712328767123288
additional_444;4553.317904037438;4025.058738776777;1.1312425978213674;622.0;324.0;1.9197530864197532
additional_557;6742.6164312197225;2955.9296384057343;2.2810476757005347;1466.0;206.0;7.116504854368932
additional_1725;10707.148200977821;5145.939593558117;2.080698384874443;1403.0;335.0;4.188059701492537
additional_210;3183.4683438513966;3183.4683438513966;1.0;358.0;257.0;1.3929961089494163
additional_1061;6959.955918430519;2872.52632325904;2.422938951707869;1261.0;198.0;6.3686868686868685
additional_639;3241.3517791280674;3241.3517791280674;1.0;351.0;284.0;1.2359154929577465
additional_2269;2616.4873408624762;2616.4873408624762;1.0;398.0;222.0;1.7927927927927927
additional_925;12012.913042089343;4791.741678070538;2.5070034758064237;1692.0;355.0;4.766197183098591
additional_1707;8602.468245941704;4942.062635779703;1.7406635406968094;1341.0;398.0;3.369346733668342
additional_1080;11314.8660979653;5570.344236785075;2.031268736184189;1227.0;484.0;2.5351239669421486
additional_1125;14744.357647191893;7346.542088469403;2.0069792658417573;1838.0;473.0;3.8858350951374208
additional_1776;8100.090326312165;4021.3024542316098;2.014295223625483;1299.0;282.0;4.6063829787234045
additional_1793;9491.332304711612;6279.328144601963;1.5115203547485976;1642.0;373.0;4.402144772117962
additional_1225;13215.897586216777;6276.319458875432;2.105676371767213;1632.0;323.0;5.052631578947368
additional_643;9540.253344525252;3056.2489083163264;3.1215564015631614;1327.0;213.0;6.230046948356808
additional_589;10816.20328672263;5232.664917923209;2.0670544467073326;1236.0;401.0;3.082294264339152
additional_286;2959.6983945746565;2959.6983945746565;1.0;417.0;334.0;1.248502994011976
additional_1463;11557.839787787116;7936.603574658686;1.4562702646117942;1768.0;430.0;4.111627906976744
additional_374;4885.568587261792;4536.676388302294;1.0769048019072085;1039.0;353.0;2.943342776203966
