zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
100;445000.0;5735000.0;1;541;541.0;541.0;541.0;541.0;541.0;541.0;541.0;541.0
101;445000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
103;445000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
105;445000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
106;445000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
112;445000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
114;445000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
117;447000.0;5711000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
122;447000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
123;447000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
124;447000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
125;447000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
127;447000.0;5731000.0;1;980;980.0;980.0;980.0;980.0;980.0;980.0;980.0;980.0
128;447000.0;5733000.0;2;994;497.0;61.0;933.0;933.0;933.0;933.0;933.0;497.0
130;447000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
131;447000.0;5739000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
132;447000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
134;447000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
141;447000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
142;447000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
143;447000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
144;447000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
147;449000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
149;449000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;449000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
151;449000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
152;449000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
154;449000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
155;449000.0;5729000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
156;449000.0;5731000.0;2;1271;635.5;482.0;789.0;789.0;789.0;789.0;789.0;635.5
157;449000.0;5733000.0;51;26422;518.0784313725491;1.0;1168.0;1145.2;1041.4;833.2;808.0;482.0
158;449000.0;5735000.0;2;892;446.0;190.0;702.0;702.0;702.0;702.0;702.0;446.0
159;449000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;439000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;449000.0;5739000.0;1;431;431.0;431.0;431.0;431.0;431.0;431.0;431.0;431.0
161;449000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
162;449000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
163;449000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
169;449000.0;5757000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
