RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_1953;1190.0;1190.0;0.0
drt_1952;786.0;786.0;0.0
drt_1951;202.0;201.0;1.0
drt_1950;56.0;56.0;0.0
drt_1949;777.0;392.0;385.0
drt_1948;1055.0;1024.0;31.0
drt_1947;100.0;100.0;0.0
drt_1946;244.0;246.0;-2.0
drt_1945;1175.0;1135.0;40.0
drt_1944;46.0;46.0;0.0
drt_1943;1105.0;1043.0;62.0
drt_1942;764.0;764.0;0.0
drt_1941;51.0;51.0;0.0
drt_1940;865.0;865.0;0.0
drt_1939;769.0;432.0;337.0
drt_1938;248.0;248.0;0.0
drt_1937;241.0;241.0;0.0
drt_1936;417.0;417.0;0.0
drt_1935;504.0;503.0;1.0
drt_1934;196.0;198.0;-2.0
drt_1933;1179.0;1179.0;0.0
drt_1932;71.0;71.0;0.0
drt_1975;1146.0;1146.0;0.0
drt_1974;800.0;800.0;0.0
drt_1973;450.0;450.0;0.0
drt_1972;653.0;653.0;0.0
drt_1971;516.0;516.0;0.0
drt_1970;167.0;167.0;0.0
drt_1969;847.0;847.0;0.0
drt_1968;523.0;523.0;0.0
drt_1967;1120.0;1002.0;118.0
drt_1966;1150.0;1149.0;1.0
drt_1965;502.0;499.0;3.0
drt_1964;421.0;308.0;113.0
drt_1963;580.0;315.0;265.0
drt_1962;431.0;431.0;0.0
drt_1961;768.0;768.0;0.0
drt_1960;567.0;567.0;0.0
drt_1959;87.0;87.0;0.0
drt_1958;1023.0;682.0;341.0
drt_1957;535.0;532.0;3.0
drt_1956;1146.0;1146.0;0.0
drt_1955;1026.0;1026.0;0.0
drt_1954;156.0;158.0;-2.0
drt_4190;221.0;221.0;0.0
drt_4192;107.0;109.0;-2.0
drt_4191;1104.0;1103.0;1.0
drt_4194;603.0;448.0;155.0
drt_4193;234.0;234.0;0.0
drt_4196;1077.0;1077.0;0.0
drt_4195;125.0;125.0;0.0
drt_4198;338.0;338.0;0.0
drt_1909;375.0;375.0;0.0
drt_4197;860.0;808.0;52.0
drt_1908;61.0;62.0;-1.0
drt_1907;428.0;428.0;0.0
drt_4199;147.0;147.0;0.0
drt_205;196.0;196.0;0.0
drt_1906;1152.0;1152.0;0.0
drt_206;139.0;141.0;-2.0
drt_1905;173.0;173.0;0.0
drt_203;808.0;808.0;0.0
drt_1904;377.0;374.0;3.0
drt_204;61.0;61.0;0.0
drt_1903;555.0;394.0;161.0
drt_201;559.0;309.0;250.0
drt_1902;1085.0;1085.0;0.0
drt_202;201.0;201.0;0.0
drt_1901;206.0;206.0;0.0
drt_1900;325.0;325.0;0.0
drt_200;171.0;171.0;0.0
drt_209;383.0;363.0;20.0
drt_207;749.0;604.0;145.0
drt_208;79.0;79.0;0.0
drt_216;948.0;440.0;508.0
drt_217;732.0;405.0;327.0
drt_214;344.0;344.0;0.0
drt_215;412.0;412.0;0.0
drt_212;84.0;84.0;0.0
drt_213;167.0;167.0;0.0
drt_210;79.0;79.0;0.0
drt_211;259.0;259.0;0.0
drt_1931;695.0;695.0;0.0
drt_1930;442.0;442.0;0.0
drt_218;372.0;372.0;0.0
drt_219;232.0;232.0;0.0
drt_4170;168.0;168.0;0.0
drt_4172;1004.0;494.0;510.0
drt_220;107.0;107.0;0.0
drt_4171;907.0;494.0;413.0
drt_4174;312.0;312.0;0.0
drt_4173;149.0;151.0;-2.0
drt_4176;658.0;443.0;215.0
drt_4175;236.0;236.0;0.0
drt_4178;61.0;61.0;0.0
drt_1929;445.0;445.0;0.0
drt_4177;364.0;364.0;0.0
drt_227;208.0;208.0;0.0
drt_1928;325.0;325.0;0.0
drt_228;423.0;423.0;0.0
drt_1927;1086.0;261.0;825.0
drt_4179;1102.0;1101.0;1.0
drt_225;640.0;258.0;382.0
drt_1926;698.0;361.0;337.0
drt_226;462.0;462.0;0.0
drt_1925;1182.0;1182.0;0.0
drt_223;112.0;112.0;0.0
drt_1924;934.0;934.0;0.0
drt_224;1065.0;904.0;161.0
drt_1923;758.0;754.0;4.0
drt_221;95.0;95.0;0.0
drt_1922;301.0;303.0;-2.0
drt_222;355.0;355.0;0.0
drt_1921;806.0;744.0;62.0
drt_1920;63.0;63.0;0.0
drt_229;717.0;717.0;0.0
drt_4181;861.0;717.0;144.0
drt_4180;400.0;400.0;0.0
drt_230;90.0;90.0;0.0
drt_4183;1056.0;1056.0;0.0
drt_231;91.0;91.0;0.0
drt_4182;586.0;525.0;61.0
drt_4185;315.0;315.0;0.0
drt_4184;778.0;585.0;193.0
drt_4187;269.0;269.0;0.0
drt_4186;135.0;135.0;0.0
drt_1919;289.0;289.0;0.0
drt_4189;315.0;315.0;0.0
drt_1918;1097.0;856.0;241.0
drt_4188;595.0;595.0;0.0
drt_238;492.0;211.0;281.0
drt_1917;22.0;22.0;0.0
drt_239;382.0;382.0;0.0
drt_1916;313.0;312.0;1.0
drt_236;409.0;208.0;201.0
drt_1915;215.0;215.0;0.0
drt_237;61.0;61.0;0.0
