timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;322.21;12;68.85;123;244;477;783.5;899
05:30:00;204;360.28;61;74;146.5;293;514.75;862.5;940
06:00:00;330;410.55;61;81;168;351;649.25;861.8;942
06:30:00;717;484.18;2;78.8;224;473;759.5;882;926
07:00:00;777;516.13;2;90.2;279;529;783;880.1;925
07:30:00;705;494.18;3;76.3;262.5;501;740;877.7;927
08:00:00;564;455.51;1;61;207.25;451.5;702.75;880;953
08:30:00;293;428.82;1;61;189.5;394;650;867;900
09:00:00;185;418.57;37;79.9;187.5;383;640;848.8;894
09:30:00;180;481.74;61;107.3;244.75;449.5;762.75;871.8;910
10:00:00;198;446.3;50;69.8;199.75;396;702.25;866.8;929
10:30:00;208;466.65;61;76.5;231.5;443;708;876.55;935
11:00:00;248;457.19;61;79.45;204.5;435;718;873.1;927
11:30:00;195;452.27;61;71.6;204;421;700;880;978
12:00:00;232;452.54;61;84.3;204.5;420.5;695.5;873;921
12:30:00;102;382.87;61;69.75;171.5;285;607.25;863.25;935
13:00:00;116;249.34;61;61;94.25;160.5;377;679.95;770
13:30:00;138;308.12;61;61;134;238;421.5;765.55;868
14:00:00;226;386.68;53;68;157.5;333.5;590.5;854.85;900
14:30:00;493;415.07;1;61;146;351;682;874.3;909
15:00:00;656;455.85;1;72.55;198.25;450;699.75;871;947
15:30:00;713;473.25;3;61;230.5;460;736.5;877.3;923
16:00:00;712;453.16;6;61;203;425;720;876.35;932
16:30:00;527;468.73;2;61;213;472;722;879.2;952
17:00:00;324;485.38;11;61;232;482;760.75;878;938
17:30:00;189;420.96;29;61;173;364;668;864;926
18:00:00;167;424.94;7;61;233;372;643;867.8;920
18:30:00;131;426.42;19;67;230;401;667;845.2;891
19:00:00;98;458.09;61;123.9;292.75;406;635.75;855.05;905
19:30:00;66;432.98;61;107.15;290.75;393;572.25;850.05;891
20:00:00;54;480.54;109;121.5;311.25;455;687.25;809.75;829
20:30:00;46;427.83;87;131.2;272;376;574.25;875;896
21:00:00;26;408.77;69;100.15;248.75;371;543;842.65;850
21:30:00;13;422.62;103;103;246.5;310;697.5;832;832
22:00:00;9;376.22;99;99;213;349;548.5;709;709
