"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,3,3,0.3333,0.25,0.2,1,3,0.3333,0.25,0.1429,0.1429
"S1",0.3333,1,0.5,0.2,0.2,0.1667,0.3333,0.5,0.25,0.2,0.1429,0.125
"S2",0.3333,2,1,0.25,0.25,0.2,0.3333,1,0.25,0.2,0.1429,0.1429
"S3",3,5,4,1,0.5,0.25,3,4,2,0.3333,0.1667,0.1429
"S4",4,5,4,2,1,0.3333,4,4,3,0.5,0.1667,0.1667
"S5",5,6,5,4,3,1,5,5,4,3,0.2,0.2
"S6",1,3,3,0.3333,0.25,0.2,1,3,0.3333,0.25,0.1429,0.1429
"C1",0.3333,2,1,0.25,0.25,0.2,0.3333,1,0.25,0.2,0.1429,0.1429
"C2",3,4,4,0.5,0.3333,0.25,3,4,1,0.3333,0.1667,0.1429
"C3",4,5,5,3,2,0.3333,4,5,3,1,0.2,0.1667
"C4",7,7,7,6,6,5,7,7,6,5,1,0.3333
"C5",7,8,7,7,6,5,7,7,7,6,3,1
