"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,0.1111,0.125,6,7,0.3333,1,0.125,0.125,0.1429,0.3333,5
"S1",9,1,9,9,9,9,9,9,9,9,9,9
"S2",8,0.1111,1,9,9,7,8,1,0.25,3,7,9
"S3",0.1667,0.1111,0.1111,1,4,0.1667,0.1667,0.1111,0.1111,0.1111,0.1667,0.3333
"S4",0.1429,0.1111,0.1111,0.25,1,0.1429,0.1429,0.1111,0.1111,0.1111,0.1429,0.2
"S5",3,0.1111,0.1429,6,7,1,3,0.1429,0.125,0.1429,1,6
"S6",1,0.1111,0.125,6,7,0.3333,1,0.125,0.125,0.1429,0.3333,5
"C1",8,0.1111,1,9,9,7,8,1,0.25,3,7,9
"C2",8,0.1111,4,9,9,8,8,4,1,5,8,9
"C3",7,0.1111,0.3333,9,9,7,7,0.3333,0.2,1,7,8
"C4",3,0.1111,0.1429,6,7,1,3,0.1429,0.125,0.1429,1,6
"C5",0.2,0.1111,0.1111,3,5,0.1667,0.2,0.1111,0.1111,0.125,0.1667,1
