"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,1,1,1,0.5,0.1667,1,1,0.1667,0.1667,0.125,0.125
"S1",1,1,1,0.5,0.3333,0.1667,1,1,0.1667,0.1667,0.1111,0.1111
"S2",1,1,1,0.5,0.3333,0.1667,1,1,0.1667,0.1667,0.1111,0.1111
"S3",1,2,2,1,0.5,0.1667,1,2,0.1667,0.1667,0.125,0.125
"S4",2,3,3,2,1,0.1667,2,3,0.1667,0.1667,0.125,0.125
"S5",6,6,6,6,6,1,6,6,1,1,0.1667,0.1667
"S6",1,1,1,1,0.5,0.1667,1,1,0.1667,0.1667,0.125,0.125
"C1",1,1,1,0.5,0.3333,0.1667,1,1,0.1667,0.1667,0.1111,0.1111
"C2",6,6,6,6,6,1,6,6,1,1,0.1667,0.1667
"C3",6,6,6,6,6,1,6,6,1,1,0.1667,0.1667
"C4",8,9,9,8,8,6,8,9,6,6,1,1
"C5",8,9,9,8,8,6,8,9,6,6,1,1
