"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,1,1,1,1,7,1,1,7,7,7,7
"S1",1,1,1,1,1,7,1,1,7,7,7,7
"S2",1,1,1,1,1,7,1,1,7,7,7,7
"S3",1,1,1,1,1,7,1,1,7,7,7,7
"S4",1,1,1,1,1,7,1,1,7,7,7,7
"S5",0.1429,0.1429,0.1429,0.1429,0.1429,1,0.1429,0.1429,1,9,9,9
"S6",1,1,1,1,1,7,1,1,7,7,7,7
"C1",1,1,1,1,1,7,1,1,7,7,7,7
"C2",0.1429,0.1429,0.1429,0.1429,0.1429,1,0.1429,0.1429,1,9,9,9
"C3",0.1429,0.1429,0.1429,0.1429,0.1429,0.1111,0.1429,0.1429,0.1111,1,9,9
"C4",0.1429,0.1429,0.1429,0.1429,0.1429,0.1111,0.1429,0.1429,0.1111,0.1111,1,0.1667
"C5",0.1429,0.1429,0.1429,0.1429,0.1429,0.1111,0.1429,0.1429,0.1111,0.1111,6,1
