"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,2,2,0.5,0.5,0.5,1,2,0.5,0.5,0.3333,0.3333
"S1",0.5,1,1,0.3333,0.3333,0.3333,0.5,1,0.3333,0.3333,0.3333,0.25
"S2",0.5,1,1,0.5,0.3333,0.3333,0.5,1,0.3333,0.5,0.3333,0.25
"S3",2,3,2,1,1,1,2,2,1,1,0.5,0.3333
"S4",2,3,3,1,1,1,2,3,1,2,0.5,0.3333
"S5",2,3,3,1,1,1,2,3,1,2,0.5,0.3333
"S6",1,2,2,0.5,0.5,0.5,1,2,0.5,0.5,0.3333,0.3333
"C1",0.5,1,1,0.5,0.3333,0.3333,0.5,1,0.3333,0.5,0.3333,0.25
"C2",2,3,3,1,1,1,2,3,1,1,0.5,0.3333
"C3",2,3,2,1,0.5,0.5,2,2,1,1,0.3333,0.3333
"C4",3,3,3,2,2,2,3,3,2,3,1,0.5
"C5",3,4,4,3,3,3,3,4,3,3,2,1
