person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;6925.582558324349;4748.436038591509;1.458497598375281;972.0;394.0;2.467005076142132
additional_407;2889.825566526154;2889.825566526154;1.0;361.0;263.0;1.3726235741444868
additional_1689;14635.745335928195;5560.64979890944;2.632020692761226;1882.0;429.0;4.386946386946387
additional_155;11894.329568124784;4172.463202619141;2.8506733290442123;1610.0;294.0;5.476190476190476
additional_2151;15411.899821125466;5811.1622189624695;2.6521200476618465;1678.0;444.0;3.779279279279279
additional_1167;7226.922597675311;5633.025393467596;1.2829557995701737;1208.0;344.0;3.511627906976744
additional_622;10085.574902792603;4007.4693668473565;2.5166941976469412;1289.0;352.0;3.6619318181818183
additional_2169;8577.075054288847;3199.5952057549766;2.68067505503872;1447.0;268.0;5.399253731343284
additional_1008;4507.980647861247;4206.59322466351;1.0716464386027829;1242.0;235.0;5.285106382978723
additional_133;7518.117193556903;4270.702465577336;1.7603935779076956;1046.0;334.0;3.1317365269461077
additional_520;14605.064563511118;4908.906889689685;2.975217271728365;1693.0;365.0;4.638356164383562
additional_444;9784.146774057177;4025.058738776777;2.430808445054046;1373.0;324.0;4.237654320987654
additional_557;8196.198423416028;2955.9296384057343;2.7727988910577066;1254.0;206.0;6.087378640776699
additional_1725;7268.532184257177;5145.939593558117;1.4124791113669897;1271.0;335.0;3.7940298507462686
additional_210;6763.828859038087;3183.4683438513966;2.124672881419367;1138.0;257.0;4.428015564202335
additional_1061;6959.955918430519;2872.52632325904;2.422938951707869;1258.0;198.0;6.353535353535354
additional_639;3241.3517791280674;3241.3517791280674;1.0;393.0;284.0;1.3838028169014085
additional_2269;2616.4873408624762;2616.4873408624762;1.0;344.0;222.0;1.5495495495495495
additional_925;12012.913042089343;4791.741678070538;2.5070034758064237;1702.0;355.0;4.794366197183098
additional_1707;8602.468245941704;4942.062635779703;1.7406635406968094;1351.0;398.0;3.3944723618090453
additional_1080;10385.249294537429;5570.344236785075;1.8643819579328686;1135.0;484.0;2.3450413223140494
additional_1125;13735.109158710673;7346.542088469403;1.8696019152014796;1811.0;473.0;3.828752642706131
additional_1776;8100.090326312165;4021.3024542316098;2.014295223625483;1296.0;282.0;4.595744680851064
additional_1793;7488.655092977408;6279.328144601963;1.1925885891813195;1305.0;373.0;3.4986595174262733
additional_1225;11172.406273259703;6276.319458875432;1.7800888476861458;1735.0;323.0;5.371517027863777
additional_643;7586.244611861231;3056.2489083163264;2.4822077126042914;911.0;213.0;4.276995305164319
additional_589;13227.932409639274;5232.664917923209;2.5279532737382513;1485.0;401.0;3.7032418952618453
additional_286;10886.494143338354;2959.6983945746565;3.678244433045642;1611.0;334.0;4.823353293413174
additional_1463;13486.767331829564;7936.603574658686;1.6993122064068273;1787.0;430.0;4.155813953488372
additional_374;4885.568587261792;4536.676388302294;1.0769048019072085;1049.0;353.0;2.971671388101983
additional_1279;10596.549998304286;5745.175499724696;1.8444258141134355;1240.0;330.0;3.757575757575758
additional_813;5503.128501080552;3770.1964875608246;1.4596397082319892;1504.0;305.0;4.9311475409836065
additional_1529;10166.16748082705;5278.292959597013;1.9260332002495022;1587.0;494.0;3.2125506072874495
additional_2312;6055.600518570684;3449.1257427167156;1.7556914332154703;1285.0;298.0;4.3120805369127515
additional_482;10896.36455248803;4813.320446962487;2.2637937100914054;1553.0;299.0;5.193979933110368
additional_1419;11727.676405499265;5502.661504756468;2.131273456555874;1438.0;326.0;4.411042944785276
additional_1820;2937.7151545178012;2277.497404264054;1.289887377705745;872.0;229.0;3.8078602620087336
additional_1627;3035.1225345423522;3035.1225345423522;1.0;284.0;211.0;1.3459715639810426
additional_1534;9327.786045788253;5731.109836054843;1.6275706298815718;1681.0;378.0;4.447089947089947
additional_81;4895.221043900821;3528.5206130980387;1.38732958671958;958.0;243.0;3.94238683127572
additional_1549;8147.516427806271;3889.4338496913606;2.0947821052292235;1286.0;265.0;4.8528301886792455
additional_1475;9062.088001572158;4678.147925991711;1.9371101865384266;1539.0;339.0;4.539823008849558
additional_1406;10238.204595297178;4860.413532938412;2.106447224277143;1500.0;394.0;3.8071065989847717
additional_1573;4801.327966252943;2560.877629030172;1.874875984633147;801.0;181.0;4.425414364640884
additional_1046;11189.370932439077;6204.582501489483;1.8034043273262845;1842.0;454.0;4.057268722466961
additional_1411;7304.401959263481;4545.535888690902;1.6069396740297486;1300.0;338.0;3.8461538461538463
additional_425;3899.5379894833827;2914.5286539795898;1.3379652260954202;1316.0;250.0;5.264
additional_1831;4604.91090291709;1936.8426237732901;2.3775348840402746;932.0;180.0;5.177777777777778
additional_477;9271.819207324364;3870.3199889653456;2.3956208359410107;1068.0;242.0;4.413223140495868
additional_1094;5176.3973987914405;2338.467367103619;2.2135854755171667;1160.0;212.0;5.471698113207547
additional_818;2200.2308469010586;2200.2308469010586;1.0;255.0;167.0;1.526946107784431
additional_1807;11752.295381503647;5402.760707927412;2.1752389226233233;1743.0;398.0;4.3793969849246235
additional_1192;3030.9052379914897;1650.6972120296705;1.8361364009724945;769.0;137.0;5.613138686131387
additional_680;11324.699841208218;4849.485524458226;2.335237373963167;1246.0;342.0;3.6432748538011697
additional_586;10617.116144691303;4051.3450324112273;2.620639826959479;1730.0;355.0;4.873239436619718
additional_1056;6364.239806323486;3664.1305353977987;1.73690313290996;1519.0;298.0;5.097315436241611
additional_260;9855.982702776912;5350.730128433862;1.8419883765772578;1313.0;310.0;4.235483870967742
additional_2150;4192.400801392503;3206.59184431954;1.3074320041134384;769.0;229.0;3.3580786026200875
additional_178;12138.219021633919;7877.672739067315;1.5408381921525514;1265.0;406.0;3.1157635467980294
additional_1999;9129.156001645275;4608.443806212483;1.9809628554738103;1495.0;338.0;4.423076923076923
additional_1685;5451.279859511525;5451.279859511525;1.0;511.0;419.0;1.2195704057279235
additional_358;6170.074780700669;3346.9944752151396;1.8434672738155824;1357.0;245.0;5.538775510204082
additional_717;7481.902517649993;4702.729087186213;1.590970344865569;1183.0;314.0;3.767515923566879
additional_1461;7951.178471914204;4130.849721292467;1.9248287902921888;1450.0;334.0;4.341317365269461
additional_634;7724.020650089673;4095.732480208552;1.8858703998402677;1568.0;320.0;4.9
additional_1145;8649.909019677874;2934.4809783093424;2.947679362590856;1502.0;228.0;6.587719298245614
additional_547;2307.27355952055;2307.27355952055;1.0;208.0;140.0;1.4857142857142858
additional_2140;10200.456321300702;4586.872714152195;2.2238367962181576;1301.0;317.0;4.10410094637224
additional_1226;4711.816840041701;2819.292456089405;1.6712763622179823;1486.0;246.0;6.040650406504065
