RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_1953;878.0;847.0;31.0
drt_1952;878.0;874.0;4.0
drt_1951;1035.0;1035.0;0.0
drt_1950;934.0;934.0;0.0
drt_1949;518.0;334.0;184.0
drt_1948;351.0;328.0;23.0
drt_1947;1076.0;1075.0;1.0
drt_1946;503.0;503.0;0.0
drt_1945;251.0;253.0;-2.0
drt_1944;536.0;536.0;0.0
drt_1943;865.0;715.0;150.0
drt_1942;341.0;341.0;0.0
drt_1941;319.0;319.0;0.0
drt_1940;870.0;720.0;150.0
drt_1939;1036.0;592.0;444.0
drt_1938;125.0;127.0;-2.0
drt_1937;919.0;919.0;0.0
drt_1936;942.0;268.0;674.0
drt_1935;494.0;494.0;0.0
drt_1934;161.0;161.0;0.0
drt_1933;97.0;97.0;0.0
drt_1932;1148.0;1126.0;22.0
drt_1975;703.0;593.0;110.0
drt_1974;254.0;254.0;0.0
drt_1973;141.0;143.0;-2.0
drt_1972;278.0;278.0;0.0
drt_1971;141.0;141.0;0.0
drt_1970;1101.0;906.0;195.0
drt_1969;414.0;414.0;0.0
drt_1968;324.0;324.0;0.0
drt_1967;686.0;684.0;2.0
drt_1966;695.0;398.0;297.0
drt_1965;733.0;729.0;4.0
drt_1964;260.0;258.0;2.0
drt_1963;1170.0;1170.0;0.0
drt_1962;567.0;567.0;0.0
drt_1961;472.0;472.0;0.0
drt_1960;1052.0;1052.0;0.0
drt_1959;719.0;719.0;0.0
drt_1958;923.0;923.0;0.0
drt_1957;162.0;162.0;0.0
drt_1956;645.0;645.0;0.0
drt_1955;1155.0;1155.0;0.0
drt_1954;943.0;943.0;0.0
drt_4190;196.0;196.0;0.0
drt_4192;809.0;809.0;0.0
drt_4191;360.0;360.0;0.0
drt_4194;651.0;449.0;202.0
drt_4193;1074.0;632.0;442.0
drt_4196;829.0;829.0;0.0
drt_4195;146.0;146.0;0.0
drt_4198;792.0;642.0;150.0
drt_1909;120.0;120.0;0.0
drt_4197;407.0;318.0;89.0
drt_1908;587.0;587.0;0.0
drt_1907;792.0;792.0;0.0
drt_4199;558.0;552.0;6.0
drt_205;255.0;255.0;0.0
drt_1906;1113.0;838.0;275.0
drt_206;180.0;180.0;0.0
drt_1905;381.0;381.0;0.0
drt_203;767.0;767.0;0.0
drt_1904;603.0;603.0;0.0
drt_204;94.0;94.0;0.0
drt_1903;1162.0;1162.0;0.0
drt_201;618.0;368.0;250.0
drt_1902;367.0;367.0;0.0
drt_202;213.0;213.0;0.0
drt_1901;1046.0;1040.0;6.0
drt_1900;673.0;673.0;0.0
drt_200;318.0;318.0;0.0
drt_209;442.0;422.0;20.0
drt_207;102.0;102.0;0.0
drt_208;230.0;230.0;0.0
drt_216;956.0;498.0;458.0
drt_217;655.0;463.0;192.0
drt_214;874.0;795.0;79.0
drt_215;187.0;187.0;0.0
drt_212;142.0;142.0;0.0
drt_213;164.0;164.0;0.0
drt_210;909.0;909.0;0.0
drt_211;426.0;426.0;0.0
drt_1931;49.0;49.0;0.0
drt_1930;1171.0;1171.0;0.0
drt_218;430.0;430.0;0.0
drt_219;229.0;229.0;0.0
drt_4170;210.0;210.0;0.0
drt_4172;825.0;536.0;289.0
drt_220;111.0;111.0;0.0
drt_4171;694.0;694.0;0.0
drt_4174;978.0;978.0;0.0
drt_4173;472.0;472.0;0.0
drt_4176;462.0;462.0;0.0
drt_4175;204.0;204.0;0.0
drt_4178;82.0;82.0;0.0
drt_1929;236.0;236.0;0.0
drt_4177;423.0;423.0;0.0
drt_227;404.0;174.0;230.0
drt_1928;292.0;292.0;0.0
drt_228;482.0;462.0;20.0
drt_1927;648.0;648.0;0.0
drt_4179;483.0;422.0;61.0
drt_225;751.0;255.0;496.0
drt_1926;124.0;124.0;0.0
drt_226;95.0;95.0;0.0
drt_1925;1104.0;1100.0;4.0
drt_223;129.0;131.0;-2.0
drt_1924;865.0;865.0;0.0
drt_224;1127.0;943.0;184.0
drt_1923;856.0;856.0;0.0
drt_221;61.0;61.0;0.0
drt_1922;737.0;293.0;444.0
drt_222;413.0;413.0;0.0
drt_1921;1059.0;1007.0;52.0
drt_1920;180.0;180.0;0.0
drt_229;65.0;65.0;0.0
drt_4181;301.0;303.0;-2.0
drt_4180;241.0;180.0;61.0
drt_230;418.0;226.0;192.0
drt_4183;116.0;118.0;-2.0
drt_231;82.0;82.0;0.0
drt_4182;725.0;524.0;201.0
drt_4185;156.0;156.0;0.0
drt_4184;1206.0;1005.0;201.0
drt_4187;270.0;270.0;0.0
drt_4186;900.0;839.0;61.0
drt_1919;960.0;960.0;0.0
drt_4189;315.0;315.0;0.0
drt_1918;309.0;309.0;0.0
drt_4188;193.0;193.0;0.0
drt_238;229.0;231.0;-2.0
drt_1917;759.0;652.0;107.0
drt_239;639.0;419.0;220.0
drt_1916;142.0;142.0;0.0
drt_236;520.0;205.0;315.0
drt_1915;540.0;540.0;0.0
drt_237;381.0;267.0;114.0
drt_1914;843.0;843.0;0.0
drt_234;835.0;771.0;64.0
drt_1913;292.0;292.0;0.0
drt_235;166.0;168.0;-2.0
drt_1912;150.0;152.0;-2.0
drt_232;664.0;452.0;212.0
drt_1911;212.0;212.0;0.0
drt_233;392.0;331.0;61.0
drt_1910;174.0;174.0;0.0
drt_4150;486.0;330.0;156.0
drt_5481;888.0;360.0;528.0
drt_5480;172.0;174.0;-2.0
drt_4152;167.0;167.0;0.0
