timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;328.12;61;66.85;105;251.5;490.5;804.5;1172
05:30:00;204;360.32;54;65;116.75;267;532.75;962.25;1206
06:00:00;331;423.59;61;82;167;316;629;1055.4;1207
06:30:00;718;540.46;8;78.95;239;490.5;816.5;1114.25;1192
07:00:00;772;563.2;4;70.65;239.5;524;869.75;1134.7;1218
07:30:00;710;556.14;3;61;238.75;523.5;857.5;1110.15;1237
08:00:00;565;523.24;1;61;217.5;482;772;1123.3;1197
08:30:00;292;484.14;4;69;192.5;392.5;735.25;1099.45;1182
09:00:00;184;423.36;17;93.5;191.25;367;623.5;988.75;1187
09:30:00;180;460.42;61;82.2;196.25;402;650.75;1015.6;1160
10:00:00;198;488.85;61;69.8;184.5;392.5;784.25;1100.1;1183
10:30:00;208;486.19;61;78;198;406;760.5;1064.95;1231
11:00:00;248;509.06;9;66.9;212.5;477;741;1103.55;1242
11:30:00;195;490.66;61;85.6;214;455;729;1051.8;1196
12:00:00;232;490.41;61;68.65;178.75;438.5;756.5;1059.45;1196
12:30:00;102;342.1;59;61;89.75;270;495;903.7;1125
13:00:00;116;268.09;61;61;86.5;179;385.5;742.45;1035
13:30:00;138;289.58;61;61;106;209.5;406.75;780.35;936
14:00:00;226;374.8;13;61;133.75;292.5;547;976.3;1190
14:30:00;490;445.31;20;61;143.75;348;701.5;1080.4;1193
15:00:00;656;475.77;2;61;171;398.5;754;1115.3;1216
15:30:00;718;516.97;3;61;207.25;481.5;794.25;1132.15;1202
16:00:00;706;513.23;1;61;206;475;800;1110.65;1202
16:30:00;532;480.28;1;61;167.75;397;771.5;1093.45;1203
17:00:00;323;456.2;11;61;150;394;712;1055.8;1199
17:30:00;190;401.7;20;61;139.25;297;629.75;984.45;1145
18:00:00;167;396.84;3;61;170;311;604;978.4;1226
18:30:00;131;424.19;3;61;212;352;606;969.4;1200
19:00:00;98;401.92;53;118.55;202.75;316;576.5;923.05;1115
19:30:00;66;369.17;91;121.35;226.75;306;491;762.55;807
20:00:00;54;451.17;105;115.75;259.75;374.5;627.5;1030;1047
20:30:00;46;463.46;103;133.05;287.25;382;608.75;1042.6;1172
21:00:00;26;403.65;150;155.95;234.25;276.5;527.5;1023.15;1034
21:30:00;13;301.92;131;131;187.5;249;365;720;720
22:00:00;9;418.33;201;201;224.5;356;524.5;975;975
