departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
18120.0;additional_1989;taxi206;6506;453546.6;5737484.4;4520;452806.81;5734626.91;96.0;18610.0;394.0;4748.44;4748.44;-2;19320;19911
18143.0;additional_407;taxi217;7625;452141.67;5734341.87;4148;453007.26;5735543.34;101.0;18507.0;263.0;2889.83;2889.83;-2;19343;19737.5
18157.0;additional_1689;taxi319;8030;455810.04;5738005.59;1866;452948.91;5734983.34;71.0;20042.0;1814.0;14635.75;5560.65;-2.04;19357;20000.5
18187.0;additional_155;taxi127;3218;453445.34;5732226.49;6408;452979.48;5735316.56;79.0;18560.0;294.0;4172.46;4172.46;-2;19387;19828
18200.0;additional_2151;taxi82;1789;456358.03;5731620.64;566;454101.01;5735442.67;73.0;19734.0;1461.0;14616.46;5811.16;-2.11;19400;20066
18225.0;additional_1167;taxi82;9702;454472.56;5730265.64;8000;454913.51;5734112.16;615.0;19420.0;580.0;7022.86;5633.03;-2;19425;19941
18259.0;additional_622;taxi181;9091;453470.54;5736686.01;8612;455337.36;5735122.59;76.0;19406.0;1071.0;8444.13;4007.47;-2;19459;19987
18289.0;additional_2169;taxi181;4908;454127.71;5736141.66;5306;455585.56;5734314.46;497.0;19594.0;808.0;6783.34;3199.6;-2;19489;19891
18306.0;additional_1008;taxi82;7245;454251.49;5731732.38;9768;454729.28;5734278.69;720.0;19535.0;509.0;5897.81;4206.59;-2;19506;19858.5
18317.0;additional_133;taxi181;8882;454163.99;5736928.46;6082;454401.45;5734350.34;296.0;19221.0;608.0;5724.38;4270.7;-2;19517;20018
18322.0;additional_520;taxi82;8285;456153.25;5732205.28;6009;453687.09;5735042.3;148.0;20042.0;1572.0;15614.31;4908.91;-2;19522;20069.5
18353.0;additional_444;taxi181;9076;453577.38;5736829.22;1149;454902.71;5735024.78;86.0;18975.0;536.0;4553.32;4025.06;-2;19553;20039
18423.0;additional_557;taxi82;6470;453393.84;5733216.18;776;453189.59;5735443.83;797.0;19889.0;669.0;6742.62;2955.93;-2;19623;19932
18431.0;additional_1725;taxi96;5584;454133.06;5730949.56;3867;454335.06;5734584.46;126.0;19834.0;1277.0;10707.15;5145.94;-2;19631;20133.5
18432.0;additional_210;taxi324;4277;452918.18;5733260.24;7563;453404.94;5735399.87;101.0;18790.0;257.0;3183.47;3183.47;-2;19632;20017.5
18448.0;additional_1061;taxi319;10659;455096.79;5737226.59;561;453965;5735136.68;328.0;19709.0;933.0;6959.96;2872.53;-2;19648;19945
18455.0;additional_639;taxi25;2973;453585.74;5737079.12;6899;453341.21;5734795.65;67.0;18806.0;284.0;3241.35;3241.35;-2;19655;20081
18458.0;additional_2269;taxi183;8789;451601.58;5734707.89;773;453189.59;5735443.83;115.0;18856.0;283.0;2616.49;2616.49;-2;19658;19991
18459.0;additional_925;taxi304;5513;454832.35;5737631.93;991;454944.74;5735087.25;106.0;20151.0;1586.0;12012.91;4791.74;-2;19659;20191.5
18483.0;additional_1707;taxi304;8033;455810.04;5738005.59;116;454251.81;5734518.24;329.0;19824.0;1012.0;8602.47;4942.06;-2;19683;20280
18500.0;additional_1080;taxi2;8904;456041.72;5731848.55;5884;453597.52;5734703.89;61.0;19727.0;1166.0;11314.87;5570.34;-2.1;19700;20426
18518.0;additional_1125;taxi82;9702;454472.56;5730265.64;3622;455353.69;5734733.21;322.0;20356.0;1516.0;14744.36;7346.54;-2.44;19718;20427.5
18531.0;additional_1776;taxi319;10662;454811.77;5737174.36;7562;453429.64;5735509.34;148.0;19830.0;1151.0;8100.09;4021.3;-2;19731;20154
18563.0;additional_1793;taxi2;5585;454757.02;5730383.23;1866;452948.91;5734983.34;639.0;20205.0;1003.0;9491.33;6279.33;-2.13;19763;20322.5
18585.0;additional_1225;taxi96;6908;454437.7;5730771.58;4933;455713.41;5735389.67;114.0;20217.0;1518.0;13215.9;6276.32;-2.08;19785;20269.5
18586.0;additional_643;taxi183;7945;452541.73;5735144.92;6672;453969.96;5733611.22;158.0;19913.0;1169.0;9540.25;3056.25;-2;19786;20105.5
18633.0;additional_589;taxi2;2448;456438.78;5732058.81;5891;454010.59;5735240.67;166.0;19869.0;1070.0;10816.2;5232.66;-2;19833;20434.5
18633.0;additional_286;taxi133;4760;452022.23;5733113.69;4690;452806.81;5734626.91;83.0;19050.0;334.0;2959.7;2959.7;-2;19833;20334
18640.0;additional_1463;taxi96;2784;455916.3;5730269.91;7530;455401.65;5735149.32;447.0;20408.0;1321.0;11557.84;7936.6;-2.52;19840;20485
18641.0;additional_374;taxi304;10731;453868.13;5737569.8;6291;453813.35;5734102.55;536.0;19680.0;503.0;4885.57;4536.68;-2;19841;20370.5
18657.0;additional_1279;taxi2;1479;455291.81;5730130.07;5536;452951.49;5733969.8;445.0;20402.0;1300.0;11563.41;5745.18;-2;19857;20352
18658.0;additional_813;taxi319;2998;454272.65;5736951.33;5357;452852.17;5734814.98;719.0;20165.0;788.0;5503.13;3770.2;-2;19858;20315.5
18658.0;additional_1529;taxi27;6321;457003.97;5736498.07;7759;453959.08;5734120.06;107.0;20054.0;1289.0;9848.15;5278.29;-2.05;19858;20599
18681.0;additional_2312;taxi27;925;456662.6;5735249.53;140;454428.81;5734985.28;339.0;19775.0;755.0;5737.58;3449.13;-2;19881;20328
18682.0;additional_482;taxi2;2298;454549.88;5731039.47;6011;453796.48;5735016.45;757.0;19973.0;534.0;6042.8;4813.32;-2;19882;20330.5
18688.0;additional_1419;taxi96;2539;454517.62;5730618.05;6158;453899.07;5735239.79;136.0;20000.0;1176.0;10385.18;5502.66;-2;19888;20377
18697.0;additional_1820;taxi319;7980;454622.63;5736963.5;573;453964.05;5735541.84;511.0;19572.0;364.0;2937.72;2277.5;-2;19897;20240.5
18724.0;additional_1627;taxi394;8943;456568.23;5734906.86;9155;454565.78;5735484.26;88.0;19023.0;211.0;3035.12;3035.12;-2;19924;20240.5
18731.0;additional_1534;taxi188;3019;452965.17;5731054.79;4143;453174.57;5735553.42;108.0;20386.0;1547.0;12762.23;5731.11;-2.02;19931;20498
18732.0;additional_81;taxi188;10303;453473.72;5730937.04;3788;453757.52;5733657.79;204.0;19663.0;727.0;5614.05;3528.52;-2;19932;20296.5
18733.0;additional_1549;taxi205;205;452183.62;5737073.73;10351;454462.48;5735412.06;105.0;20019.0;1181.0;8147.52;3889.43;-2;19933;20330.5
18754.0;additional_1475;taxi319;8142;455320.79;5737554.7;5710;453103.4;5734633.08;227.0;20296.0;1315.0;9062.09;4678.15;-2;19954;20462.5
18771.0;additional_1406;taxi96;8906;456041.8;5731858.01;4787;454233.38;5734415.87;569.0;19734.0;394.0;4860.41;4860.41;-2;19971;20562
18772.0;additional_1573;taxi183;4686;452642.88;5734617.22;3731;453980.71;5733795.08;317.0;19989.0;900.0;6755.34;2560.88;-2;19972;20243.5
18777.0;additional_1046;taxi84;2449;456449.79;5732098.91;5727;453361.83;5734415.83;100.0;20645.0;1768.0;13697.28;6204.58;-2.19;19977;20658
18780.0;additional_1411;taxi84;8284;456146.72;5732252.37;3625;455356.53;5734670.14;213.0;19944.0;951.0;7322.89;4545.54;-2;19980;20487
18781.0;additional_425;taxi27;7536;456396.56;5735580.9;5749;454250.31;5734485.68;687.0;19906.0;438.0;3581.52;2914.53;-2;19981;20356
18788.0;additional_1831;taxi205;6194;452717.76;5735928.96;3244;453372.36;5734987.2;281.0;19720.0;651.0;4604.91;1936.84;-2;19988;20258
18795.0;additional_477;taxi188;1293;453881.82;5732360.79;1487;454892.45;5734694.18;480.0;19921.0;646.0;5058.63;3870.32;-2;19995;20358
18802.0;additional_1094;taxi304;5101;454175.82;5737050.89;1762;454183.27;5734909.91;604.0;19952.0;546.0;5176.4;2338.47;-2;20002;20320
18822.0;additional_818;taxi363;2097;455780.02;5733496.98;3673;454446.88;5733444.24;74.0;19063.0;167.0;2200.23;2200.23;-2;20022;20272.5
18829.0;additional_1807;taxi129;4029;454756.09;5737834.17;7822;455585.56;5734314.46;92.0;20474.0;1553.0;11960.26;5402.76;-2;20029;20626
18840.0;additional_1192;taxi205;4345;453811.52;5736156.75;775;453156.95;5735278.15;434.0;19609.0;335.0;3030.91;1650.7;-2;20040;20245.5
18862.0;additional_680;taxi188;7679;453856.72;5732213.6;9154;454482.21;5735596.3;327.0;20166.0;977.0;7516.75;4849.49;-2;20062;20575
18875.0;additional_586;taxi188;737;454575.59;5732650.02;8497;452852.17;5734814.98;600.0;20656.0;1181.0;10557.85;4051.35;-2;20075;20607.5
18882.0;additional_1056;taxi84;6728;456047.05;5733943.34;1784;453915.65;5734524.12;428.0;20427.0;1117.0;8872.14;3664.13;-2;20082;20529
18892.0;additional_260;taxi50;10342;454498.67;5731033.98;7104;454101.01;5735442.67;94.0;20340.0;1354.0;10375.69;5350.73;-2;20092;20557
18893.0;additional_2150;taxi318;8770;452378.07;5734088.05;1151;454895.04;5735034.93;61.0;19183.0;229.0;3206.59;3206.59;-2;20093;20436.5
18897.0;additional_178;taxi96;603;455904.21;5730310.23;1754;455723.7;5735044.49;123.0;20294.0;1274.0;11011.9;7877.67;-2.48;20097;20706
18904.0;additional_1999;taxi304;5104;454143.22;5737385.09;2105;453980.49;5733899.18;413.0;20389.0;1072.0;9129.16;4608.44;-2;20104;20611
18905.0;additional_1685;taxi38;8583;458138.02;5734927.51;6167;453821.9;5735869.81;117.0;19441.0;419.0;5451.28;5451.28;-2.01;20105;20733.5
18923.0;additional_358;taxi129;6561;453730.61;5736841.61;8747;454531.77;5734808.83;566.0;20058.0;569.0;5903.3;3346.99;-2;20123;20490.5
18926.0;additional_717;taxi129;376;454887.91;5737550.92;8951;453617.05;5734197.39;162.0;19887.0;799.0;6815.51;4702.73;-2;20126;20597
18935.0;additional_1461;taxi129;10733;453905.25;5737429.76;1504;454919.34;5734595.32;358.0;20163.0;870.0;7684.4;4130.85;-2;20135;20636
18944.0;additional_634;taxi319;2998;454272.65;5736951.33;3790;453728.99;5733676.16;433.0;20515.0;1138.0;7724.02;4095.73;-2;20144;20624
18953.0;additional_1145;taxi141;3194;453646.49;5732618.69;5726;452891.72;5734389.14;61.0;19303.0;289.0;2934.48;2934.48;-2;20153;20495
18964.0;additional_547;taxi129;1465;454367.21;5735896.2;3413;455561.73;5734806.98;758.0;20310.0;588.0;5865.46;2307.27;-2;20164;20374
18972.0;additional_2140;taxi50;10852;454746.86;5731299.69;5884;453597.52;5734703.89;146.0;20185.0;1067.0;8438.12;4586.87;-2;20172;20647.5
18974.0;additional_1226;taxi50;5174;453373.29;5732823.34;125;454302.6;5734863.29;830.0;20498.0;694.0;5451.62;2819.29;-2;20174;20543
18975.0;additional_403;taxi50;4751;453249.95;5731535.22;4980;453523.13;5734077.64;618.0;19929.0;336.0;3369.57;2900.12;-2;20175;20497.5
18990.0;additional_1147;taxi205;5506;454389.06;5736124.43;1682;453904.57;5734990.99;447.0;19870.0;433.0;3308.87;1664.9;-2;20190;20437.5
19010.0;additional_783;taxi183;6413;451767.96;5733896.55;3849;453981.69;5733812.67;621.0;19825.0;194.0;2647;2647;-2;20210;20501
19019.0;additional_2006;taxi241;4193;453236.28;5730531.97;721;454095.43;5733751.32;120.0;19930.0;791.0;7630.44;4466.7;-2;20219;20667.5
19020.0;additional_616;taxi50;4637;453066.08;5731642.16;1779;453854.17;5734599.74;459.0;20083.0;604.0;4855.47;3940.23;-2;20220;20638.5
19022.0;additional_108;taxi256;10239;454609.99;5733411.81;7527;455343.81;5735030.94;96.0;19273.0;155.0;2616.67;2616.67;-2;20222;20454.5
19025.0;additional_1946;taxi84;5985;455645.86;5733561.76;1042;455221.5;5734404.17;466.0;19721.0;230.0;2074.86;2056.37;-2;20225;20472.5
19031.0;additional_1090;taxi27;3406;456589.13;5736458.21;7301;454668.12;5734928.42;233.0;19680.0;416.0;3597.67;3597.67;-2;20231;20763.5
19043.0;additional_216;taxi241;10043;453877.01;5732012.15;1755;455728.23;5734893.77;734.0;20560.0;783.0;6401.85;4712.71;-2;20243;20598.5
19046.0;additional_1410;taxi183;3125;451603.03;5734148.99;6764;453523.26;5734743.14;421.0;20314.0;847.0;5790.24;2837.48;-2;20246;20570
19066.0;additional_1174;taxi241;5579;454095.81;5730833.09;5749;454250.31;5734485.68;252.0;20242.0;924.0;7995.06;4979.03;-2;20266;20726.5
19070.0;additional_1675;taxi241;7245;454251.49;5731732.38;1769;454262.34;5734671.14;404.0;20337.0;863.0;6531.75;3125.17;-2;20270;20613.5
19075.0;additional_712;taxi141;6229;453894.5;5733208.24;5130;453031.2;5735093.73;66.0;19544.0;403.0;3702.45;2944.33;-2;20275;20569
19077.0;additional_1877;taxi84;5980;455771.75;5733501.12;10351;454462.48;5735412.06;496.0;20185.0;612.0;5540.67;3467.98;-2;20277;20622
19082.0;additional_1852;taxi293;3062;454740.29;5737357.82;5771;453580.25;5734859.63;74.0;20254.0;1098.0;7688.47;3810.99;-2;20282;20733.5
19083.0;additional_219;taxi183;2835;452122.48;5733822.25;1794;454133.95;5734540.49;170.0;20162.0;909.0;6557.47;2624.17;-2;20283;20625
19085.0;additional_150;taxi241;3098;453469.9;5731980.2;6291;453813.35;5734102.55;555.0;20097.0;457.0;3952.65;3313.27;-2;20285;20607.5
19089.0;additional_1926;taxi2;10341;454443.9;5731191.76;5750;454265.52;5734508.09;219.0;20606.0;1298.0;11865.98;3811.88;-2;20289;20641.5
19103.0;12052000_12052000_29030;taxi157;6686;456513.51;5728015.34;4446;453718.01;5732889.79;404.0;20411.0;904.0;10050.23;6089.11;-2.06;20303;20817.5
19120.0;additional_839;taxi293;9641;454542.72;5736771.82;553;455209.95;5735059;441.0;20850.0;1289.0;10211.82;4293.34;-2;20320;20833
19123.0;additional_1462;taxi50;1368;454532.99;5731272.45;8496;452706.99;5734811.46;131.0;20808.0;1554.0;13026.08;4823.4;-2;20323;20824
