vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi192;84737.39;77035.7;7701.69;162643.77
taxi193;103331.66;97315.27;6016.38;194012.74
taxi194;131310.31;129362.47;1947.84;269066.84
taxi195;130320.87;127062.57;3258.3;284132.35
taxi190;22666.63;19043.37;3623.26;33603.9
taxi191;36392.7;36025.75;366.95;91816.28
taxi196;109929.73;104644.11;5285.62;240394.19
taxi197;8360.75;8229.45;131.3;8229.45
taxi198;41244.96;38786.95;2458;123974.29
taxi199;31689.27;30841.23;848.04;61263.38
taxi181;74704.86;69659.47;5045.4;147952.93
taxi182;170259.14;160292.93;9966.21;402604
taxi183;74942.21;70934.69;4007.52;171679.09
taxi184;122059.82;119732.71;2327.11;316428.13
taxi180;127395.74;121223.76;6171.98;263965.5
taxi189;146717.38;138719.49;7997.89;339959.49
taxi185;73818.77;63392.87;10425.91;140810.85
taxi186;22971.08;18562.05;4409.02;40624.11
taxi187;47711.16;47235.85;475.31;111343.15
taxi188;141821.02;138484.35;3336.67;326169.71
taxi79;76001.31;73633.55;2367.76;177234.76
taxi310;143260.84;140789.26;2471.59;303908.53
taxi311;50417.98;48165.34;2252.64;132863.14
taxi312;109976.38;107904.11;2072.28;263792.24
taxi313;136773.81;131105.15;5668.66;300246.51
taxi81;37867.76;37190.51;677.26;100701.58
taxi80;57634.01;53760.38;3873.63;119387.16
taxi83;189937.69;180324.87;9612.82;395115.85
taxi318;137223.15;136164.75;1058.4;312701.46
taxi82;80399.21;77261.9;3137.31;197713.92
taxi319;153181.17;146169.39;7011.78;355864.21
taxi85;36190.71;33309.68;2881.03;69008.8
taxi84;91855.66;88757.21;3098.45;225952.18
taxi87;81054.49;76724.85;4329.63;173252.94
taxi314;37733.34;34981.6;2751.75;88596.83
taxi86;23307.84;21430.35;1877.48;55566.49
taxi315;70894.07;68810.15;2083.93;158375.52
taxi89;79221.08;76981.33;2239.76;179426.36
taxi316;22205.81;21134.99;1070.82;48162.64
taxi88;33504.79;32697.67;807.12;80890.12
taxi317;71588.29;65683.49;5904.8;174635.43
taxi300;14948.29;14530.9;417.39;36590.07
taxi301;241743.41;227742.1;14001.31;518724.1
taxi302;67121.57;64295.18;2826.4;140215.39
taxi90;70601.23;66881.62;3719.62;166611.02
taxi92;66193.65;61512.52;4681.13;135648.17
taxi91;164324.4;158292.71;6031.68;361134.11
taxi94;105253.35;103074.44;2178.9;232198.26
taxi307;123992.34;119065.19;4927.15;360175.15
taxi93;49812.79;48543.67;1269.12;97870.25
taxi308;126454.67;114382.86;12071.82;262366.64
taxi96;164933.07;153813.38;11119.7;398571.1
taxi309;127701.41;122924.82;4776.59;299875.22
taxi95;164348.46;162960.69;1387.77;444829.73
taxi98;98615.73;92620.42;5995.31;187195.18
taxi303;35984.53;35640.72;343.82;114305.26
taxi97;52973.79;51822.7;1151.09;164404.85
taxi304;227799.41;219081.07;8718.34;595773.03
taxi305;19326.06;18604.36;721.71;48689.26
taxi99;102499.75;97243.29;5256.46;246408.89
taxi306;88369.52;87729.98;639.54;239887.12
taxi211;41508.49;40613.85;894.63;110207.19
taxi332;131709.78;125883.75;5826.03;314522.59
taxi212;174596.16;173240.83;1355.33;436880.19
taxi333;46096.25;45612.95;483.3;141238.64
taxi213;61372.38;57591.43;3780.96;131125.71
taxi334;54589.92;47225.51;7364.4;114780.55
taxi214;15542.21;14051.57;1490.64;24058.27
taxi335;132283.15;128144.87;4138.28;290582.43
taxi330;103836.49;96296.66;7539.83;230391.93
taxi210;118785.95;118749.65;36.3;241204.59
taxi331;68155.87;68012.65;143.22;164038.7
taxi219;130190.58;121457.42;8733.15;255673.73
taxi215;28321.67;26304.57;2017.09;45304.05
taxi336;165434.94;157982.28;7452.65;398790.75
taxi216;47459.67;46222.62;1237.05;125701.86
taxi337;117359.27;109692.96;7666.31;303075.89
taxi217;95888.74;90380.65;5508.08;201160.89
taxi338;33744.33;33324.48;419.85;92074.07
taxi218;135051.97;130501.8;4550.17;295589.85
taxi339;154823.17;143037.69;11785.48;307355.44
taxi200;3563.33;3362.44;200.89;3362.44
taxi321;29415.16;26741.04;2674.12;68003.07
taxi201;4882.83;4624.28;258.55;4624.28
taxi322;31604.28;30641.89;962.39;95725.41
taxi202;111255.87;106686.12;4569.75;227145
taxi323;12450.06;11271.18;1178.88;25099.74
taxi203;105185.45;97294.7;7890.74;209353.39
taxi324;111143.23;107593.07;3550.16;251558.94
taxi320;71190.88;69957.21;1233.66;179337.22
taxi208;147428.55;142771.51;4657.04;331325.97
taxi329;60724.41;60028.72;695.69;167464.24
taxi209;127262.66;113337;13925.66;293398.8
taxi204;41801.43;41276.04;525.39;78720.15
taxi325;18041.56;17481.18;560.38;50653.57
taxi205;28479.48;27431.84;1047.64;77038.62
taxi326;144507.81;143408.9;1098.91;302295.57
taxi206;96908.06;91630.54;5277.52;188255.92
taxi327;129444.19;122231.34;7212.85;278253.54
taxi207;57492.61;57118.61;374;152607.02
taxi328;68509.53;65767.18;2742.35;173990.51
taxi36;66950.13;64482.4;2467.73;168496.21
taxi35;177607.28;174795.12;2812.16;399355.85
taxi38;119702.66;115626.24;4076.43;245131.87
taxi37;176727.46;165989.95;10737.51;403926.86
taxi39;81424.93;78198.88;3226.05;196395.03
taxi41;75787.82;75566.65;221.17;198387.43
taxi40;70673.16;66470.49;4202.67;191770.5
taxi43;43248.21;40641.02;2607.19;109817.28
taxi42;105286.28;102922.28;2363.99;250964.17
taxi45;81411.61;78458.89;2952.72;190214.3
taxi44;57899.85;55849.18;2050.67;141796.45
taxi47;195567.92;186417.63;9150.29;478239.93
taxi46;46315.35;39583.78;6731.57;78361.2
taxi49;48882.95;45642.61;3240.34;114698.74
taxi48;89172.08;86212.88;2959.2;272641.14
taxi50;30082.34;29438.67;643.67;103162.33
taxi52;34489.24;34127.73;361.52;80808.89
taxi51;89557.9;86338.12;3219.78;194532.06
taxi54;174053.01;172249.44;1803.57;415211.34
taxi53;85940.95;82989.11;2951.83;224752.93
taxi56;157851.27;154536.25;3315.02;367530.46
taxi55;59170.96;58539.41;631.55;122752.7
taxi58;6004.23;5649.66;354.57;5649.66
taxi57;38503.71;36530.61;1973.1;93187.57
taxi59;51200.07;48299.79;2900.28;136774.73
taxi61;129089.74;125489.83;3599.91;299055.84
taxi60;81602.95;78019.75;3583.2;148168.48
taxi63;37267.08;32251.81;5015.27;61317.49
taxi62;76700.24;73941.84;2758.4;164213.22
taxi65;127293.88;121396.82;5897.06;356680.21
taxi64;258267.46;248860.11;9407.35;606562.19
taxi67;164037.54;157519.85;6517.69;381143.97
taxi66;57723.1;56195.96;1527.14;125677.18
taxi69;113725.9;110815.81;2910.1;287555.47
taxi68;75701.52;72073.9;3627.61;150270.96
taxi70;31592.32;30034.04;1558.28;100132.99
taxi72;38963.5;34581.78;4381.72;90123.75
taxi71;44716.07;43250.81;1465.25;88296
taxi74;124699.11;118920.25;5778.86;317875.94
taxi73;111652.75;103287.24;8365.5;256341.68
taxi76;69718.5;66757.4;2961.1;151293.25
taxi75;108939.17;107379.74;1559.43;225898.1
taxi78;118127.53;117927.13;200.4;302202.16
taxi77;101634.61;101016.79;617.81;264875.83
taxi390;124126.04;120585.43;3540.61;288913.23
taxi270;19484.66;19230.67;253.98;56802.98
taxi391;64745.29;64673.36;71.94;162418.31
taxi150;58664.28;57881.53;782.74;112350.85
taxi271;174914.53;168942.32;5972.21;415224.66
taxi392;140367.66;135254.75;5112.91;366769.37
taxi151;16500.04;16458.58;41.46;42121.96
taxi272;144966.87;140710.9;4255.97;370609.74
taxi393;57177.92;52262.9;4915.02;110857.17
taxi156;82191.11;71631.67;10559.45;195390.37
taxi277;40321.02;37747.05;2573.96;96558.95
taxi398;58020.47;56763.75;1256.72;121199.46
taxi157;95498.97;87718.95;7780.02;224796.86
taxi278;67850.06;62307.87;5542.19;141601.64
taxi399;146883.22;144123.63;2759.59;311279.54
taxi158;57421.16;55532.56;1888.61;136017.28
taxi279;70745.26;66776.29;3968.97;165551.71
taxi159;75788.88;75144.32;644.56;187581.41
taxi152;85196.62;83234.76;1961.86;233985.53
taxi273;25010.14;23194.67;1815.47;35589.71
taxi394;45489.45;44014.07;1475.39;125449.69
taxi153;110468.82;103930.22;6538.6;275392.21
taxi274;67942.18;62894.55;5047.63;145023.03
taxi395;85340.56;79800.95;5539.61;169327.72
taxi154;28273.94;26631.32;1642.62;54203.78
taxi275;24183.24;19982.62;4200.62;35854.67
taxi396;122401.05;116454.89;5946.16;275810.36
taxi155;107467.07;96991.45;10475.62;195152.29
taxi276;153993.41;149180.48;4812.94;365952.77
taxi397;60486.86;50830.58;9656.27;103539.44
taxi380;45222.79;44119.81;1102.97;99037.86
taxi260;114470.01;113857.34;612.67;336495.34
taxi381;111022.48;104083.78;6938.69;232299.07
taxi140;89865.53;86851.39;3014.14;197971.72
taxi261;25445.71;23392.64;2053.07;62362.61
taxi382;14752.32;14529.08;223.24;30286.21
taxi145;91983.79;83780.74;8203.05;203964.22
taxi266;62168.64;59590.37;2578.27;164344.14
taxi387;46521.1;45202.67;1318.43;126885.19
taxi146;159327.64;150082.47;9245.17;382882.96
taxi267;70767.28;66312.78;4454.5;124372.33
taxi388;160717.37;155106.61;5610.76;391961.32
taxi147;135890.56;129351.48;6539.08;257796.1
taxi268;74735.3;73732.51;1002.79;197014.26
taxi389;86177.97;84831.17;1346.8;193114.13
taxi148;19683.22;16803.9;2879.32;38656.13
taxi269;130906.28;125091.13;5815.14;322672.67
taxi141;88342.62;87221.36;1121.26;183835.03
taxi262;78077;77294.35;782.65;170997.81
taxi383;26686.65;24258.56;2428.1;63516.01
taxi142;97302.74;92683.21;4619.53;226498.67
