person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;6925.582558324349;4748.436038591509;1.458497598375281;989.0;394.0;2.510152284263959
additional_407;2889.825566526154;2889.825566526154;1.0;332.0;263.0;1.2623574144486691
additional_1689;15740.489326588007;5560.64979890944;2.8306924362823653;1851.0;429.0;4.314685314685315
additional_155;10587.513344289555;4172.463202619141;2.5374731495878873;1511.0;294.0;5.139455782312925
additional_2151;14441.026425067996;5811.1622189624695;2.4850496133020203;1605.0;444.0;3.614864864864865
additional_1167;7226.922597675311;5633.025393467596;1.2829557995701737;1266.0;344.0;3.6802325581395348
additional_622;10085.574902792603;4007.4693668473565;2.5166941976469412;1306.0;352.0;3.710227272727273
additional_2169;8577.075054288847;3199.5952057549766;2.68067505503872;1464.0;268.0;5.462686567164179
additional_1008;4507.980647861247;4206.59322466351;1.0716464386027829;1300.0;235.0;5.531914893617022
additional_133;7518.117193556903;4270.702465577336;1.7603935779076956;1063.0;334.0;3.182634730538922
additional_520;14120.954759770371;4908.906889689685;2.8765986149439926;1620.0;365.0;4.438356164383562
additional_444;11148.191875116903;4025.058738776777;2.7696966923033925;1658.0;324.0;5.117283950617284
additional_557;6889.3821995807975;2955.9296384057343;2.3306989821640514;1155.0;206.0;5.606796116504855
additional_1725;10358.123909089194;5145.939593558117;2.0128732024091165;1696.0;335.0;5.062686567164179
additional_210;5457.0126352028565;3183.4683438513966;1.7141721059493558;1039.0;257.0;4.042801556420233
additional_1061;8064.69990909034;2872.52632325904;2.807528635608983;1227.0;198.0;6.196969696969697
additional_639;7599.145373965954;3241.3517791280674;2.3444371027232793;1167.0;284.0;4.109154929577465
additional_2269;2616.4873408624762;2616.4873408624762;1.0;916.0;222.0;4.126126126126126
additional_925;5075.599970287655;4791.741678070538;1.059239064058106;1023.0;355.0;2.8816901408450706
additional_1707;4942.062635779703;4942.062635779703;1.0;489.0;398.0;1.228643216080402
additional_1080;10298.993533800296;5570.344236785075;1.8488971410040471;1143.0;484.0;2.3615702479338845
additional_1125;13953.552048820951;7346.542088469403;1.8993360251377895;1889.0;473.0;3.9936575052854124
additional_1776;9204.834316971986;4021.3024542316098;2.28901815313239;1265.0;282.0;4.48581560283688
additional_1793;7488.655092977408;6279.328144601963;1.1925885891813195;1313.0;373.0;3.520107238605898
additional_1225;11172.406273259703;6276.319458875432;1.7800888476861458;1743.0;323.0;5.396284829721362
additional_643;6003.065952285779;3056.2489083163264;1.9641940602255594;1371.0;213.0;6.436619718309859
additional_589;13227.932409639274;5232.664917923209;2.5279532737382513;1493.0;401.0;3.7231920199501247
additional_286;5106.059271261013;2959.6983945746565;1.7251958107017908;815.0;334.0;2.440119760479042
additional_1463;13486.767331829564;7936.603574658686;1.6993122064068273;1795.0;430.0;4.174418604651163
additional_374;6898.418912410883;4536.676388302294;1.520588713402235;1147.0;353.0;3.2492917847025495
additional_1279;10596.549998304286;5745.175499724696;1.8444258141134355;1231.0;330.0;3.7303030303030305
additional_813;7987.0830782526;3770.1964875608246;2.1184792635091396;1473.0;305.0;4.829508196721312
additional_1529;14418.145350218609;5278.292959597013;2.7315924789667996;1716.0;494.0;3.473684210526316
additional_2312;10307.57838796224;3449.1257427167156;2.988461180265188;1414.0;298.0;4.74496644295302
additional_482;10896.36455248803;4813.320446962487;2.2637937100914054;1544.0;299.0;5.1638795986622075
additional_1419;11727.676405499265;5502.661504756468;2.131273456555874;1429.0;326.0;4.383435582822086
additional_1820;2405.207386808278;2277.497404264054;1.0560746994947694;723.0;229.0;3.1572052401746724
additional_1627;3035.1225345423522;3035.1225345423522;1.0;1199.0;211.0;5.682464454976303
additional_1534;9327.786045788253;5731.109836054843;1.6275706298815718;1672.0;378.0;4.423280423280423
additional_81;4895.221043900821;3528.5206130980387;1.38732958671958;949.0;243.0;3.905349794238683
additional_1549;7594.949737922494;3889.4338496913606;1.9527134363077492;1091.0;265.0;4.1169811320754715
additional_1475;12007.541653055265;4678.147925991711;2.566729792006269;1619.0;339.0;4.775811209439528
additional_1406;10238.204595297178;4860.413532938412;2.106447224277143;1532.0;394.0;3.8883248730964466
additional_1573;5559.211068835321;2560.877629030172;2.1708226140194937;1253.0;181.0;6.922651933701657
additional_1046;11189.370932439077;6204.582501489483;1.8034043273262845;1874.0;454.0;4.127753303964758
additional_1411;7304.401959263481;4545.535888690902;1.6069396740297486;1332.0;338.0;3.940828402366864
additional_425;10215.812123018593;2914.5286539795898;3.5051335347379755;1445.0;250.0;5.78
additional_1831;4604.91090291709;1936.8426237732901;2.3775348840402746;742.0;180.0;4.122222222222222
additional_477;13702.657534309032;3870.3199889653456;3.540445641026227;1357.0;242.0;5.607438016528926
additional_1094;8986.006239593282;2338.467367103619;3.8426904587183435;1387.0;212.0;6.5424528301886795
additional_818;2200.2308469010586;2200.2308469010586;1.0;255.0;167.0;1.526946107784431
additional_1807;6880.603391017181;5402.760707927412;1.273534728443802;999.0;398.0;2.5100502512562812
additional_1192;3030.9052379914897;1650.6972120296705;1.8361364009724945;579.0;137.0;4.226277372262774
additional_680;15950.370580880282;4849.485524458226;3.2890850999420653;1620.0;342.0;4.7368421052631575
additional_586;10208.156093985996;4051.3450324112273;2.51969556093583;1458.0;355.0;4.107042253521127
additional_1056;6364.239806323486;3664.1305353977987;1.73690313290996;1551.0;298.0;5.204697986577181
additional_260;13196.297532762934;5350.730128433862;2.4662610926007287;1451.0;310.0;4.680645161290323
additional_2150;10592.893546420491;3206.59184431954;3.3034742370425922;1503.0;229.0;6.563318777292577
