zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
100;445000.0;5735000.0;1;530;530.0;530.0;530.0;530.0;530.0;530.0;530.0;530.0
101;445000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
103;445000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
105;445000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
106;445000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
112;445000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
114;445000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
117;447000.0;5711000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
122;447000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
123;447000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
124;447000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
125;447000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
127;447000.0;5731000.0;1;982;982.0;982.0;982.0;982.0;982.0;982.0;982.0;982.0
128;447000.0;5733000.0;2;276;138.0;61.0;215.0;215.0;215.0;215.0;215.0;138.0
130;447000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
131;447000.0;5739000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
132;447000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
134;447000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
141;447000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
142;447000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
143;447000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
144;447000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
147;449000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
149;449000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;449000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
151;449000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
152;449000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
154;449000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
155;449000.0;5729000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
156;449000.0;5731000.0;2;1284;642.0;586.0;698.0;698.0;698.0;698.0;698.0;642.0
157;449000.0;5733000.0;51;25574;501.45098039215685;61.0;1168.0;1116.3999999999999;1033.6000000000006;804.6000000000001;686.0;454.0
158;449000.0;5735000.0;2;726;363.0;233.0;493.0;493.0;493.0;493.0;493.0;363.0
159;449000.0;5737000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;439000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;449000.0;5739000.0;1;472;472.0;472.0;472.0;472.0;472.0;472.0;472.0;472.0
161;449000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
162;449000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
163;449000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
169;449000.0;5757000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
17;439000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
171;449000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
178;451000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
179;451000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;439000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
180;451000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
181;451000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
182;451000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
183;451000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
184;451000.0;5729000.0;1;880;880.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0
185;451000.0;5731000.0;17;7215;424.4117647058823;118.0;1183.0;1183.0;1099.0;700.6000000000003;427.5;301.0
186;451000.0;5733000.0;104;44608;428.9230769230768;25.0;1167.0;1081.75;964.5;761.0;629.25;323.0
187;451000.0;5735000.0;220;105949;481.5863636363636;41.0;1226.0;1138.8;1033.3000000000002;832.2;780.0;380.0
188;451000.0;5737000.0;19;5382;283.2631578947368;70.0;783.0;783.0;690.0;489.0;378.0;205.0
189;451000.0;5739000.0;1;204;204.0;204.0;204.0;204.0;204.0;204.0;204.0;204.0
19;439000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
190;451000.0;5741000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
191;451000.0;5743000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
192;451000.0;5745000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
199;451000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
200;451000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
201;451000.0;5763000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
202;451000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
204;453000.0;5711000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
205;453000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
209;453000.0;5721000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
21;439000.0;5751000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
210;453000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
212;453000.0;5727000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
213;453000.0;5729000.0;86;27814;323.41860465116287;7.0;1164.0;1072.6;838.4999999999998;640.6;548.0;160.0
214;453000.0;5731000.0;653;324051;496.24961715160805;5.0;1256.0;1096.6;985.8000000000002;798.0000000000002;739.0;458.0
215;453000.0;5733000.0;873;462036;529.2508591065294;4.0;1218.0;1142.6;1049.6;890.2;822.5;471.0
216;453000.0;5735000.0;1474;744298;504.9511533242877;4.0;1248.0;1110.0;990.5;841.0;761.25;459.0
217;453000.0;5737000.0;381;189086;496.2887139107611;49.0;1226.0;1100.8999999999996;1014.0000000000001;816.8000000000001;737.0;433.0
218;453000.0;5739000.0;65;23828;366.5846153846153;35.0;1169.0;1141.2999999999997;1031.6;680.6000000000001;653.5;220.0
219;453000.0;5741000.0;39;14304;366.76923076923083;18.0;1129.0;1088.0;969.0;701.0;640.0;274.0
221;453000.0;5745000.0;14;2924;208.85714285714283;61.0;595.0;595.0;594.5;355.0;352.0;124.0
222;453000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
223;453000.0;5749000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
224;453000.0;5751000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
228;453000.0;5759000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
229;453000.0;5761000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
231;453000.0;5765000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
234;455000.0;5713000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
235;455000.0;5715000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
236;455000.0;5717000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
237;455000.0;5719000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
239;455000.0;5723000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
240;455000.0;5725000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
241;455000.0;5727000.0;58;16404;282.82758620689657;18.0;1071.0;971.2499999999997;684.2000000000004;503.80000000000007;447.0;181.5
242;455000.0;5729000.0;103;47516;461.3203883495146;26.0;1180.0;1090.4;1002.2000000000002;831.2;716.0;344.0
243;455000.0;5731000.0;617;334023;541.3662884927064;7.0;1227.0;1136.2;1045.2;869.4000000000002;795.0;486.0
244;455000.0;5733000.0;568;308115;542.455985915493;11.0;1184.0;1100.0;1015.7000000000002;879.2;813.5;517.0
245;455000.0;5735000.0;1726;895380;518.7601390498256;2.0;1223.0;1114.0;1018.3;855.0;771.25;468.5
246;455000.0;5737000.0;745;391464;525.455033557047;3.0;1246.0;1143.0;1071.0;897.6000000000001;810.5;463.0
247;455000.0;5739000.0;133;68866;517.7894736842105;61.0;1181.0;1143.3;1034.2;892.4;849.0;417.0
248;455000.0;5741000.0;105;48765;464.4285714285714;12.0;1183.0;1031.3999999999996;934.8000000000001;765.2;687.0;431.0
249;455000.0;5743000.0;10;2290;229.0;61.0;486.0;486.0;483.9;434.0000000000001;348.75;172.0
250;455000.0;5745000.0;3;1697;565.6666666666666;61.0;1060.0;1060.0;1060.0;1060.0;1060.0;576.0
251;455000.0;5747000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
252;455000.0;5749000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
253;455000.0;5751000.0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
