departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
18120.0;additional_1989;taxi130;6506;453546.6;5737484.4;4520;452806.81;5734626.91;183.0;19109.0;806.0;6925.58;4748.44;-2;19320;19911
18143.0;additional_407;taxi71;7625;452141.67;5734341.87;4148;453007.26;5735543.34;69.0;18475.0;263.0;2889.83;2889.83;-2;19343;19737.5
18157.0;additional_1689;taxi7;8030;455810.04;5738005.59;1866;452948.91;5734983.34;68.0;19840.0;1615.0;15456.63;5560.65;-2.04;19357;20000.5
18187.0;additional_155;taxi146;3218;453445.34;5732226.49;6408;452979.48;5735316.56;97.0;19637.0;1353.0;10587.51;4172.46;-2;19387;19828
18200.0;additional_2151;taxi119;1789;456358.03;5731620.64;566;454101.01;5735442.67;156.0;19615.0;1259.0;12847.13;5811.16;-2.11;19400;20066
18225.0;additional_1167;taxi119;9702;454472.56;5730265.64;8000;454913.51;5734112.16;671.0;19301.0;405.0;5633.03;5633.03;-2;19425;19941
18259.0;additional_622;taxi130;9091;453470.54;5736686.01;8612;455337.36;5735122.59;241.0;19565.0;1065.0;10085.57;4007.47;-2;19459;19987
18289.0;additional_2169;taxi130;4908;454127.71;5736141.66;5306;455585.56;5734314.46;581.0;19753.0;883.0;8577.08;3199.6;-2;19489;19891
18306.0;additional_1008;taxi119;7245;454251.49;5731732.38;9768;454729.28;5734278.69;776.0;19416.0;334.0;4507.98;4206.59;-2;19506;19858.5
18317.0;additional_133;taxi130;8882;454163.99;5736928.46;6082;454401.45;5734350.34;380.0;19380.0;683.0;7518.12;4270.7;-2;19517;20018
18322.0;additional_520;taxi119;8285;456153.25;5732205.28;6009;453687.09;5735042.3;204.0;19752.0;1226.0;12527.06;4908.91;-2;19522;20069.5
18353.0;additional_444;taxi109;9076;453577.38;5736829.22;1149;454902.71;5735024.78;112.0;19963.0;1498.0;11661.15;4025.06;-2;19553;20039
18423.0;additional_557;taxi146;6470;453393.84;5733216.18;776;453189.59;5735443.83;142.0;19517.0;952.0;6889.38;2955.93;-2;19623;19932
18431.0;additional_1725;taxi106;5584;454133.06;5730949.56;3867;454335.06;5734584.46;105.0;19836.0;1300.0;12539.82;5145.94;-2;19631;20133.5
