timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;309.52;61;74.1;117.5;234.5;454.5;777.95;1056
05:30:00;204;372.45;61;67;151.75;311;538.75;908.25;1200
06:00:00;331;460.89;61;80.6;194;379;667;1074.8;1188
06:30:00;717;627.84;7;110.7;336;617;925.5;1159.1;1223
07:00:00;775;630.74;4;104.6;311;620;963;1157;1218
07:30:00;708;628.44;12;99.45;327.75;626.5;929.75;1154.1;1227
08:00:00;567;571.14;2;61;265;575;860;1100.8;1230
08:30:00;288;548.9;5;79.25;251;484.5;838.25;1131.85;1213
09:00:00;186;536.28;61;98.45;258.5;531.5;756;1085.2;1192
09:30:00;180;530.02;61;110.1;261.25;485;768;1069.15;1145
10:00:00;198;518.17;61;91.65;215;471.5;779;1106.15;1219
10:30:00;208;546.13;61;82;253;508.5;838;1101.8;1221
11:00:00;248;543.08;61;76.45;243.75;507.5;830.25;1091.65;1185
11:30:00;195;583;61;89.2;326;577;828;1111.4;1230
12:00:00;232;531.86;61;81.6;225.5;519.5;791.5;1124.35;1217
12:30:00;102;336.06;61;64.3;106.75;234.5;514.75;828.85;1102
13:00:00;116;279.81;61;61;95.5;198;427.25;690.25;1114
13:30:00;138;320.57;61;61;130;241.5;439;942.9;1189
14:00:00;226;407.43;61;68;162.25;334.5;556.25;996.55;1264
14:30:00;494;481.64;12;61;176.75;414;744.25;1079;1200
15:00:00;653;557.99;14;73.7;237;528;853.5;1150;1231
15:30:00;719;579.16;3;61;261;537;893;1153;1224
16:00:00;707;596.35;6;61;298;582;899;1140.6;1198
16:30:00;530;558.1;4;61;237.25;547;832;1131.9;1201
17:00:00;321;511.57;8;61;218;434;795;1103.3;1200
17:30:00;191;488.57;20;61;200;433;743;1103.8;1172
18:00:00;166;475.53;13;61;251;443.5;701.5;1015.7;1160
18:30:00;132;510.11;61;99;281.25;443;718.25;1083.15;1169
19:00:00;98;500.33;7;130.7;306.75;444;712.5;1079.55;1237
19:30:00;66;463.85;109;142.05;266.5;405.5;641.25;1029.4;1147
20:00:00;54;485.39;140;181.25;274.75;413;658.5;1071.5;1146
20:30:00;46;494.59;215;230.5;317.25;441.5;623;1012.35;1203
21:00:00;26;456.46;172;175.15;277;366.5;640.25;1078;1127
21:30:00;13;432.92;66;66;202.5;355;722.5;890;890
22:00:00;9;309.11;125;125;201;250;427;610;610
