vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;111854.19;103045.88;8808.31;213865.77
taxi81;83063.76;80057.78;3005.99;185904.29
taxi80;156281.99;150498.67;5783.32;326024.07
taxi83;268142.8;249550.7;18592.09;544976.94
taxi82;58871.83;57249.51;1622.32;128652.58
taxi85;173889.49;170120.59;3768.9;403364.11
taxi84;63003.01;60233.08;2769.93;164076.25
taxi87;62239.25;61951.13;288.12;139709.89
taxi86;80560.41;75002.64;5557.77;128004.41
taxi89;154723.07;153581.66;1141.41;338778.31
taxi88;51801.66;49185.24;2616.42;91961.62
taxi90;98584.22;89126.49;9457.73;175715.39
taxi92;177205.68;166993.79;10211.9;361808.08
taxi91;107015.37;102421.56;4593.8;237174.08
taxi94;84464.13;80109.93;4354.2;201116.06
taxi93;199176.27;192101.4;7074.87;453400.73
taxi96;163628.66;153401.02;10227.64;337116.69
taxi95;54578.86;49171.33;5407.53;104604.67
taxi98;127767.47;122843.9;4923.57;271143.48
taxi97;98433.08;94535.44;3897.64;235621.67
taxi99;80192.35;77529.5;2662.85;167522.43
taxi211;137018.39;129952.08;7066.32;298586.24
taxi212;146845.24;145373.7;1471.53;367024.09
taxi213;72491.31;71280.76;1210.55;167324.02
taxi214;143531.77;131301.01;12230.76;297314.13
taxi210;136026.88;126004.65;10022.23;292719.84
taxi219;230717.57;214620.15;16097.41;508807.22
taxi215;183013.28;169200.93;13812.35;343373.96
taxi216;110422;105718.81;4703.19;261332.3
taxi217;113620.12;105317.48;8302.65;258923.78
taxi218;156849.62;142296.16;14553.47;315901.68
taxi200;252093.18;221261.1;30832.08;468646.35
taxi201;103026.92;98499.66;4527.26;174459.69
taxi202;112406.83;106490.38;5916.45;255308.66
taxi203;78037.53;73375.07;4662.46;175508.98
taxi208;151854.18;143555.5;8298.68;323778.41
taxi209;122289.76;118502.58;3787.18;271533.84
taxi204;190717.88;187187.55;3530.33;389944.57
taxi205;94197.96;85701.21;8496.75;180178.48
taxi206;151157.68;145729.79;5427.89;354148.17
taxi207;115726.82;110860.18;4866.63;247610.4
taxi36;116342.58;113650.34;2692.24;207867.42
taxi35;118274.46;106188.29;12086.16;244050.41
taxi38;108363.35;92901.23;15462.12;222183.42
taxi37;207245.92;196612.62;10633.3;449320.97
taxi39;132492.14;131116.58;1375.57;281215.87
taxi192;79992.36;75637.3;4355.07;173287.27
taxi193;133588.54;119947.77;13640.77;264469.4
taxi194;98317.72;86881.25;11436.47;169534.23
taxi195;132084.18;118140.43;13943.75;263925.72
taxi190;157814.32;147087.11;10727.2;327265.78
taxi191;89432.28;85516.91;3915.38;177656.11
taxi196;151313.84;144913.87;6399.97;364232.45
taxi197;181157.23;175812.96;5344.27;395815.32
taxi198;113888.41;106423.48;7464.92;225893.83
taxi199;98030.62;94721.57;3309.05;163030.44
taxi41;123306.8;119281.4;4025.39;268243.1
taxi40;120341.96;116033.28;4308.69;236802.53
taxi43;132777.27;120260.59;12516.67;262459.3
taxi42;37146.53;36218.28;928.25;75703.55
taxi45;127796.26;116830.95;10965.31;274932.1
taxi44;124682.3;121704.91;2977.39;262668.94
taxi47;111989.34;104870.39;7118.94;233591.73
taxi46;72203.72;66503.25;5700.48;139589.25
taxi49;61874.05;60556.77;1317.28;114038.58
taxi48;126592.52;113800.56;12791.96;257833.62
taxi181;189072.01;182634.77;6437.23;407489.4
taxi182;177603.05;170537.6;7065.45;414966.34
taxi183;221416.7;208879.81;12536.9;459195.66
taxi184;66338.06;62101.29;4236.77;89981.25
taxi180;187757.73;169834.5;17923.23;349606.02
taxi189;116806.61;116128.48;678.13;284916.44
