RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_1953;538.0;538.0;0.0
drt_1952;305.0;305.0;0.0
drt_1951;782.0;419.0;363.0
drt_1950;417.0;417.0;0.0
drt_1949;853.0;853.0;0.0
drt_1948;231.0;231.0;0.0
drt_1947;445.0;445.0;0.0
drt_1946;61.0;61.0;0.0
drt_1945;839.0;772.0;67.0
drt_1944;720.0;575.0;145.0
drt_1943;390.0;390.0;0.0
drt_1942;192.0;192.0;0.0
drt_1941;880.0;880.0;0.0
drt_1940;60.0;60.0;0.0
drt_1939;172.0;172.0;0.0
drt_1938;290.0;290.0;0.0
drt_1937;1091.0;1089.0;2.0
drt_1936;496.0;496.0;0.0
drt_1935;114.0;116.0;-2.0
drt_1934;642.0;642.0;0.0
drt_1933;342.0;342.0;0.0
drt_1932;83.0;83.0;0.0
drt_1975;408.0;408.0;0.0
drt_1974;731.0;731.0;0.0
drt_1973;833.0;750.0;83.0
drt_1972;822.0;786.0;36.0
drt_1971;220.0;220.0;0.0
drt_1970;682.0;682.0;0.0
drt_1969;909.0;904.0;5.0
drt_1968;710.0;709.0;1.0
drt_1967;256.0;256.0;0.0
drt_1966;818.0;818.0;0.0
drt_1965;147.0;147.0;0.0
drt_1964;753.0;753.0;0.0
drt_1963;820.0;816.0;4.0
drt_1962;688.0;687.0;1.0
drt_1961;289.0;289.0;0.0
drt_1960;346.0;346.0;0.0
drt_1959;883.0;676.0;207.0
drt_1958;165.0;165.0;0.0
drt_1957;639.0;639.0;0.0
drt_1956;290.0;290.0;0.0
drt_1955;444.0;410.0;34.0
drt_1954;1179.0;1084.0;95.0
drt_4190;510.0;491.0;19.0
drt_4192;259.0;259.0;0.0
drt_4191;779.0;608.0;171.0
drt_4194;589.0;589.0;0.0
drt_4193;678.0;339.0;339.0
drt_4196;936.0;936.0;0.0
drt_4195;166.0;166.0;0.0
drt_4198;476.0;476.0;0.0
drt_1909;770.0;767.0;3.0
drt_4197;135.0;135.0;0.0
drt_1908;1098.0;979.0;119.0
drt_1907;727.0;727.0;0.0
drt_4199;191.0;191.0;0.0
drt_205;173.0;173.0;0.0
drt_1906;586.0;586.0;0.0
drt_206;116.0;118.0;-2.0
drt_1905;29.0;29.0;0.0
drt_203;155.0;155.0;0.0
drt_1904;1062.0;1059.0;3.0
drt_204;80.0;80.0;0.0
drt_1903;746.0;746.0;0.0
drt_201;536.0;286.0;250.0
drt_1902;78.0;80.0;-2.0
drt_202;127.0;127.0;0.0
drt_1901;744.0;681.0;63.0
drt_1900;798.0;798.0;0.0
drt_200;488.0;488.0;0.0
drt_209;360.0;340.0;20.0
drt_207;70.0;70.0;0.0
drt_208;355.0;355.0;0.0
drt_216;977.0;889.0;88.0
drt_217;76.0;76.0;0.0
drt_214;321.0;321.0;0.0
drt_215;176.0;176.0;0.0
drt_212;533.0;533.0;0.0
drt_213;164.0;164.0;0.0
drt_210;297.0;297.0;0.0
drt_211;185.0;185.0;0.0
drt_1931;407.0;407.0;0.0
drt_1930;665.0;665.0;0.0
drt_218;148.0;148.0;0.0
drt_219;800.0;800.0;0.0
