vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;107971.35;106543.08;1428.27;272958.46
taxi81;56846.63;52441.47;4405.15;98042.05
taxi80;135157.37;131750.27;3407.1;329921.73
taxi83;80416.19;73102.41;7313.78;197719.09
taxi82;105308.38;102509.41;2798.98;249470.21
taxi85;157488.13;141745.7;15742.43;347188.55
taxi84;186635.53;180399.03;6236.49;449753.51
taxi87;74795.43;73170.04;1625.4;201239.47
taxi86;121090.36;115803.03;5287.33;304978.18
taxi89;110838.97;106751.07;4087.9;390541.59
taxi88;127337.06;118573.89;8763.16;310242.77
taxi90;155717.68;148236;7481.68;368775.73
taxi92;159568.59;154598.09;4970.5;428387.14
taxi91;50443.34;46070.97;4372.37;122149.43
taxi94;196153.96;190910.73;5243.23;490392.61
taxi93;148696.54;137362.44;11334.09;358901.09
taxi96;155622.39;149340.56;6281.84;363387.54
taxi95;17162.24;16746.45;415.79;53782.47
taxi98;97566.26;82434.37;15131.89;163255.52
taxi97;212490.07;200942.64;11547.43;438476.82
taxi99;129655.76;124559.82;5095.93;310755.36
taxi211;132047.91;124806.66;7241.25;339871.29
taxi212;140509.38;129193.97;11315.41;285160.41
taxi213;60909.72;56698.01;4211.71;149018.1
taxi214;201788.55;185791.09;15997.45;461421.75
taxi210;132214.66;124082.76;8131.9;260059.41
taxi219;134394.33;132378.7;2015.63;340336.54
taxi215;66993.42;66238.41;755;155701.86
taxi216;63768.76;61653.06;2115.7;181812.21
taxi217;233138.77;213871.12;19267.65;521022.33
taxi218;118660.49;116783.19;1877.29;327438.84
taxi200;92688.76;84612.5;8076.26;192473.91
taxi201;261410.88;249926.72;11484.16;600250.19
taxi202;179854.16;176141.92;3712.24;434995.59
taxi203;119128.49;116618.85;2509.64;313403.14
taxi208;124478.44;118402.13;6076.31;301592.54
taxi209;120038.89;116248.66;3790.23;312114.77
taxi204;132924.83;131207.2;1717.64;348464.75
taxi205;175400.17;165769.77;9630.4;420543.41
taxi206;147384.56;142290.35;5094.21;347064.92
taxi207;202853.92;195065.8;7788.12;547475.88
taxi36;138569.7;128527.15;10042.55;341302.44
taxi35;114882.94;111972.83;2910.11;257625.19
taxi38;94532.37;86882.02;7650.36;214365.86
taxi37;127210.2;119513.16;7697.04;317294.29
taxi39;148213.91;138872.16;9341.75;389510.65
taxi192;170761.75;152244.73;18517.02;349590.19
taxi193;86033.1;81215.78;4817.31;179846.24
taxi194;95403.03;87842.89;7560.14;188846.88
taxi195;59623.71;57128.21;2495.49;112300.15
taxi190;229038.02;222292.06;6745.96;626260.92
taxi191;47656.83;46582.44;1074.4;126263.35
taxi196;132317.52;128370.93;3946.59;333747.23
taxi197;142571.48;135431.74;7139.74;371468.44
taxi198;70701.83;60316.06;10385.77;142099.73
taxi199;200764.29;185590.78;15173.51;494632.9
taxi41;15328.9;15328.9;0;39683.94
taxi40;136979.74;129476.53;7503.21;305927.71
taxi43;106921.1;97323.31;9597.79;214307.99
taxi42;78192.2;76905.17;1287.03;217580.84
taxi45;217002.56;203792.89;13209.66;433401.13
taxi44;122052.53;114618.89;7433.64;276625.23
taxi47;176773.71;167783.47;8990.24;423282.47
taxi46;43413.82;41239.87;2173.94;81392.07
taxi49;35140.33;33071.4;2068.94;75786.82
taxi48;43556.49;42880.29;676.2;90711.95
taxi181;145838.82;134497.97;11340.86;317407.18
taxi182;87705.8;81343.12;6362.68;147186.86
taxi183;149643.6;146223.55;3420.04;419429.9
taxi184;205867.61;195830.09;10037.52;403336.87
taxi180;86370.97;78680.07;7690.9;201221.35
taxi189;154617.26;149495.85;5121.41;335943.7
taxi185;195583.02;183167.4;12415.63;439928.64
taxi186;134523.4;120659.38;13864.01;312872.57
taxi187;132331.49;126040.47;6291.02;312409.9
taxi188;140882.53;137552.3;3330.23;309163.09
taxi50;118923.32;112049.72;6873.6;235925.44
taxi52;138495.02;123738.77;14756.25;320911.01
taxi51;146964.73;140279.34;6685.39;356185.79
taxi54;136287.02;134446.71;1840.32;328896.98
taxi53;56005.81;55915.18;90.63;113350.28
taxi56;36736.08;34184.68;2551.4;81940.62
taxi55;4165.53;3536.54;629;3536.54
taxi58;151146.16;146999.61;4146.55;399924.14
taxi57;203537.1;195430.59;8106.51;447985.29
taxi59;104401.48;104132.71;268.77;206147.75
taxi61;153648.13;150772.91;2875.23;344294.92
taxi60;55846.69;50463.01;5383.68;102568.21
taxi63;13397.84;12021.1;1376.74;17130.37
taxi62;143802.56;135986.25;7816.3;321058
taxi65;127633.7;122422.32;5211.38;334557.07
taxi64;108360.57;103104.12;5256.45;215032.8
taxi67;141575.36;134760.88;6814.47;337857.32
taxi66;91428.65;89400.5;2028.15;213607.96
taxi69;113773.67;107064.55;6709.13;260508.39
taxi68;87605.53;86697.7;907.84;208142.33
taxi70;218260.17;210779.79;7480.38;574905.85
taxi72;189927.77;170879.03;19048.74;479785.9
taxi71;131625.49;118320.48;13305.01;305169.03
taxi74;61235.84;55137.81;6098.03;154414.17
taxi73;195148.41;181808.14;13340.27;422367.28
taxi76;34670.28;33078.59;1591.68;100094.49
taxi75;93315.57;91113.78;2201.79;246824.3
taxi78;224744.84;214897.32;9847.52;541916.92
taxi77;174768.33;161391.37;13376.96;355733.87
taxi270;129414.15;120456.97;8957.18;336063.77
taxi150;115020.37;111696.67;3323.7;215900.52
taxi271;196919.39;189989.68;6929.71;455530.73
taxi151;132434.17;123045.74;9388.43;291403.88
taxi272;101521.74;97310.36;4211.38;266318.63
taxi156;102870.08;99355.49;3514.59;241807.07
taxi277;76954.71;74896.56;2058.15;196770.91
taxi157;180709.49;163615.31;17094.17;469776.8
taxi278;170648.29;159721.74;10926.55;380539.27
taxi158;264530.23;253427.61;11102.61;722097.33
taxi279;88824.84;77824.59;11000.25;198627.83
taxi159;138035.41;124567.35;13468.06;276844.35
taxi152;196469.51;185364.82;11104.69;489706.81
taxi273;92946.94;91887.92;1059.02;222152.97
taxi153;180940.55;168659.04;12281.51;440831.68
taxi274;87593.38;82999.54;4593.85;176655.36
taxi154;229742.26;219816.35;9925.91;584701.42
taxi275;148128.18;139253.93;8874.25;301541.66
taxi155;43580.2;42018.77;1561.43;93564.86
taxi276;147795.55;146409.46;1386.1;356798.9
taxi260;61983.97;57942.39;4041.57;141802.75
taxi140;95326.99;91391.54;3935.45;217654.14
taxi261;126515.79;117724.74;8791.05;255254.65
taxi145;157764.04;153183.78;4580.26;333166.99
taxi266;202416.06;197475.19;4940.87;556200.16
taxi146;196647.68;188093.67;8554.01;565150.97
taxi267;121586.85;118944.37;2642.47;244120.41
taxi147;211758.59;206042.89;5715.7;457559.45
taxi268;191230.28;190054.9;1175.37;507870.48
taxi148;316171.88;303114.29;13057.59;842791.59
taxi269;104382.42;97287.66;7094.76;258579.16
taxi141;161139.98;149248.32;11891.66;358174.81
taxi262;78386.79;77960.89;425.9;222350.63
taxi142;209654.24;198189.24;11465;523813.52
taxi263;143532.41;139587.26;3945.15;335370.47
taxi143;194630.85;189373.31;5257.54;487150.3
taxi264;98584.19;93686.56;4897.63;242500.51
taxi144;133350.97;127537.9;5813.08;275727.78
taxi265;98052.33;87102.43;10949.9;241556.12
taxi10;130821.71;125370.28;5451.43;347805.43
taxi149;102535.47;96994.93;5540.54;247073.14
taxi12;84720.28;77130.71;7589.57;174025.41
taxi11;89481.97;87164.45;2317.52;156375.85
taxi14;40197.34;33739.91;6457.43;89433.49
taxi13;132153.73;128048.85;4104.88;314820.69
taxi0;163116.39;152830.32;10286.07;422456.07
taxi16;59469.4;58221.17;1248.22;185347.34
taxi1;161302.56;153716.3;7586.26;407615.52
taxi15;110431.19;109906.74;524.45;268424.41
taxi2;72851.21;64940.73;7910.48;182197.23
taxi18;25578.33;24768.16;810.17;77731.38
taxi3;81934.74;75996.07;5938.67;179866.38
taxi17;219099.97;205827.19;13272.78;449816.54
taxi4;93281.85;87460.01;5821.84;201712.13
taxi5;54167.56;52606.79;1560.77;122964.47
taxi19;190560.16;182830.24;7729.92;441528.21
taxi6;190465.8;180788.19;9677.62;403803.09
taxi170;85104.72;80704.62;4400.1;226732.29
taxi291;28657.22;28333.32;323.9;59669.76
taxi7;155633.1;149160.92;6472.19;451811.6
taxi171;77330.08;71385.52;5944.56;195164.87
taxi292;180124.84;172110.36;8014.48;393282.69
taxi8;64242.31;61570.86;2671.46;191395.32
taxi172;58243.25;55055.42;3187.83;122828.99
taxi293;165473.82;158275.16;7198.67;421589.31
taxi9;77687.39;75028.64;2658.75;216909.58
taxi173;184037.67;174315.73;9721.94;420973.38
taxi294;81669.36;75953.19;5716.17;191470.6
taxi290;67613.6;61925.77;5687.83;154646.44
taxi178;91280.63;79954.25;11326.38;191874.17
taxi299;22459.75;22103.62;356.13;51129.6
taxi179;123360.13;121319.36;2040.76;304178.96
taxi174;67487.27;62913.62;4573.65;152859.62
taxi295;35334.28;33356.86;1977.42;93279.08
taxi175;60192.77;56354.65;3838.12;134441.48
taxi296;138538.18;134819.11;3719.07;358439.04
taxi176;76119.06;70721.84;5397.22;149902.61
taxi297;172543.57;168134.69;4408.88;373112.65
taxi177;168226.15;166300.42;1925.73;387954.13
taxi298;76667.47;71829.54;4837.93;153087.06
taxi21;75139.95;74323.09;816.86;194593.7
taxi20;163360.93;161037.52;2323.41;431416.33
taxi23;114810.25;103336.05;11474.21;241700.8
taxi22;158704.08;150924.11;7779.97;406086.67
taxi25;264396.53;247974.82;16421.71;539172.12
taxi24;80903.94;73780.06;7123.88;155088.32
taxi27;64620.43;59009.51;5610.92;150229.66
taxi26;58178.52;52405.88;5772.65;143479.13
taxi29;207607.78;193919.13;13688.66;465281.55
taxi28;130418.35;123476.31;6942.04;303734.29
taxi280;62106.94;59274.15;2832.79;179404.84
taxi160;110426.64;101167.18;9259.45;242425.04
taxi281;154041.76;150457.39;3584.37;381534.59
taxi161;117871.32;110534.7;7336.62;264623.88
taxi282;70184.97;67862.63;2322.34;194412.06
taxi162;149563.05;144747.96;4815.09;387649.28
