Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
1461;454296.1826426621;5735946.185423914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2306;452486.17329521535;5733008.790421292;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2788;452357.7266425297;5734645.585476423;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0
10659;455096.79276621423;5737226.59453402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0
2787;453962.2170457325;5733553.780510976;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10658;455048.25828489754;5737216.917590988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2786;453958.2098973534;5733493.0323263295;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2785;455904.20745112805;5730310.228093567;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2784;455916.30302506336;5730269.914666578;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1452;455098.1459779587;5735729.994861828;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3630;455210.7674476367;5734656.387805927;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3632;455283.3139670847;5734451.19937674;0;0;0;0;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
3633;455362.786583263;5734526.694640021;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3634;455296.95451367286;5734427.287133395;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5812;453232.99690098414;5733884.133612458;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10653;455078.57324705884;5737034.169535127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3635;455283.3139670847;5734451.19937674;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
3636;455382.8986715948;5734441.707023904;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3637;455296.95451367286;5734427.287133395;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10654;455099.68597450724;5736877.552966728;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4980;453523.13298052974;5734077.63868625;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4981;453532.39864858915;5733904.318874975;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
4982;453522.78723919706;5734084.304308389;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2320;453304.51751914853;5733020.880026472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10668;455096.79276621423;5737226.59453402;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;4;5;1;1;0;0;0;0;0
2317;452958.58941169776;5733017.002652464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
5827;455864.8711135853;5731921.305059322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
10667;455070.7983893015;5737368.595243546;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
