RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_1953;917.0;881.0;36.0
drt_1952;511.0;511.0;0.0
drt_1951;323.0;323.0;0.0
drt_1950;869.0;869.0;0.0
drt_1949;448.0;448.0;0.0
drt_1948;709.0;544.0;165.0
drt_1947;867.0;867.0;0.0
drt_1946;255.0;255.0;0.0
drt_1945;404.0;404.0;0.0
drt_1944;900.0;900.0;0.0
drt_1943;551.0;469.0;82.0
drt_1942;409.0;409.0;0.0
drt_1941;365.0;365.0;0.0
drt_1940;811.0;811.0;0.0
drt_1939;307.0;307.0;0.0
drt_1938;318.0;295.0;23.0
drt_1937;499.0;499.0;0.0
drt_1936;445.0;445.0;0.0
drt_1935;638.0;637.0;1.0
drt_1934;534.0;534.0;0.0
drt_1933;210.0;212.0;-2.0
drt_1932;318.0;318.0;0.0
drt_1975;318.0;318.0;0.0
drt_1974;699.0;699.0;0.0
drt_1973;567.0;567.0;0.0
drt_1972;883.0;732.0;151.0
drt_1971;122.0;122.0;0.0
drt_1970;862.0;862.0;0.0
drt_1969;501.0;478.0;23.0
drt_1968;879.0;873.0;6.0
drt_1967;819.0;819.0;0.0
drt_1966;807.0;807.0;0.0
drt_1965;798.0;798.0;0.0
drt_1964;748.0;598.0;150.0
drt_1963;674.0;674.0;0.0
drt_1962;66.0;66.0;0.0
drt_1961;770.0;709.0;61.0
drt_1960;59.0;59.0;0.0
drt_1959;188.0;188.0;0.0
drt_1958;164.0;164.0;0.0
drt_1957;873.0;821.0;52.0
drt_1956;829.0;828.0;1.0
drt_1955;853.0;853.0;0.0
drt_1954;829.0;824.0;5.0
drt_4190;735.0;575.0;160.0
drt_4192;82.0;82.0;0.0
drt_4191;623.0;623.0;0.0
drt_4194;706.0;706.0;0.0
drt_4193;81.0;81.0;0.0
drt_4196;384.0;384.0;0.0
drt_4195;583.0;371.0;212.0
drt_4198;185.0;185.0;0.0
drt_1909;100.0;100.0;0.0
drt_4197;148.0;148.0;0.0
drt_1908;777.0;627.0;150.0
drt_1907;856.0;856.0;0.0
drt_4199;646.0;645.0;1.0
drt_205;227.0;227.0;0.0
drt_1906;63.0;63.0;0.0
drt_206;107.0;107.0;0.0
drt_1905;869.0;835.0;34.0
drt_203;821.0;821.0;0.0
drt_1904;681.0;681.0;0.0
drt_204;101.0;101.0;0.0
drt_1903;103.0;103.0;0.0
drt_201;590.0;340.0;250.0
drt_1902;742.0;742.0;0.0
drt_202;206.0;206.0;0.0
drt_1901;544.0;537.0;7.0
drt_1900;729.0;729.0;0.0
drt_200;318.0;318.0;0.0
drt_209;414.0;394.0;20.0
drt_207;80.0;80.0;0.0
drt_208;329.0;329.0;0.0
drt_216;827.0;827.0;0.0
drt_217;107.0;107.0;0.0
drt_214;439.0;439.0;0.0
drt_215;187.0;187.0;0.0
drt_212;471.0;471.0;0.0
drt_213;254.0;254.0;0.0
drt_210;120.0;122.0;-2.0
drt_211;123.0;123.0;0.0
drt_1931;871.0;871.0;0.0
drt_1930;375.0;375.0;0.0
drt_218;179.0;179.0;0.0
drt_219;685.0;578.0;107.0
drt_4170;96.0;96.0;0.0
drt_4172;573.0;422.0;151.0
drt_220;156.0;156.0;0.0
drt_4171;500.0;500.0;0.0
drt_4174;845.0;845.0;0.0
drt_4173;66.0;66.0;0.0
drt_4176;328.0;328.0;0.0
drt_4175;147.0;147.0;0.0
