departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
18120.0;additional_1989;taxi130;6506;453546.6;5737484.4;4520;452806.81;5734626.91;183.0;19109.0;806.0;6925.58;4748.44;-2;18820;19911
18143.0;additional_407;taxi71;7625;452141.67;5734341.87;4148;453007.26;5735543.34;69.0;18475.0;263.0;2889.83;2889.83;-2;18843;19737.5
18157.0;additional_1689;taxi7;8030;455810.04;5738005.59;1866;452948.91;5734983.34;68.0;20008.0;1783.0;15740.49;5560.65;-2.04;18857;20000.5
18187.0;additional_155;taxi146;3218;453445.34;5732226.49;6408;452979.48;5735316.56;97.0;19698.0;1414.0;10587.51;4172.46;-2;18887;19828
18200.0;additional_2151;taxi119;1789;456358.03;5731620.64;566;454101.01;5735442.67;156.0;19978.0;1622.0;16158.35;5811.16;-2.11;18900;20066
18225.0;additional_1167;taxi119;9702;454472.56;5730265.64;8000;454913.51;5734112.16;497.0;19533.0;811.0;9719.33;5633.03;-2;18925;19941
18259.0;additional_622;taxi130;9091;453470.54;5736686.01;8612;455337.36;5735122.59;241.0;19565.0;1065.0;10085.57;4007.47;-2;18959;19987
18289.0;additional_2169;taxi130;4908;454127.71;5736141.66;5306;455585.56;5734314.46;581.0;19753.0;883.0;8577.08;3199.6;-2;18989;19891
18306.0;additional_1008;taxi119;7245;454251.49;5731732.38;9768;454729.28;5734278.69;602.0;19648.0;740.0;8594.28;4206.59;-2;19006;19858.5
18317.0;additional_133;taxi130;8882;454163.99;5736928.46;6082;454401.45;5734350.34;380.0;19380.0;683.0;7518.12;4270.7;-2;19017;20018
18322.0;additional_520;taxi252;8285;456153.25;5732205.28;6009;453687.09;5735042.3;74.0;20022.0;1626.0;16580.41;4908.91;-2;19022;20069.5
18353.0;additional_444;taxi109;9076;453577.38;5736829.22;1149;454902.71;5735024.78;112.0;20014.0;1549.0;11148.19;4025.06;-2;19053;20039
18423.0;additional_557;taxi146;6470;453393.84;5733216.18;776;453189.59;5735443.83;142.0;19578.0;1013.0;6889.38;2955.93;-2;19123;19932
18431.0;additional_1725;taxi119;5584;454133.06;5730949.56;3867;454335.06;5734584.46;669.0;19802.0;702.0;7513.56;5145.94;-2;19131;20133.5
18432.0;additional_210;taxi146;4277;452918.18;5733260.24;7563;453404.94;5735399.87;303.0;19471.0;736.0;5457.01;3183.47;-2;19132;20017.5
18448.0;additional_1061;taxi7;10659;455096.79;5737226.59;561;453965;5735136.68;325.0;19675.0;902.0;8064.7;2872.53;-2;19148;19945
18455.0;additional_639;taxi109;2973;453585.74;5737079.12;6899;453341.21;5734795.65;139.0;19622.0;1028.0;7599.15;3241.35;-2;19155;20081
18458.0;additional_2269;taxi146;8789;451601.58;5734707.89;773;453189.59;5735443.83;633.0;19374.0;283.0;2616.49;2616.49;-2;19158;19991
18459.0;additional_925;taxi7;5513;454832.35;5737631.93;991;454944.74;5735087.25;500.0;19482.0;523.0;5075.6;4791.74;-2;19159;20191.5
18483.0;additional_1707;taxi56;8033;455810.04;5738005.59;116;454251.81;5734518.24;91.0;18972.0;398.0;4942.06;4942.06;-2;19183;20280
18500.0;additional_1080;taxi252;8904;456041.72;5731848.55;5884;453597.52;5734703.89;274.0;19899.0;1125.0;12345.37;5570.34;-2.1;19200;20426
